# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 2.701629e-06    2.701329e-06 3.946690e-08 5.912884e-17
1.596051 4.939381e-06    4.939380e-06 3.642424e-09 -4.572412e-18
2.660086 6.800493e-05    6.798424e-05 1.670275e-06 2.347469e-14
3.724120 1.409362e-04    1.389927e-04 2.290411e-05 1.943751e-11
4.788154 1.863267e-04    1.839011e-04 2.990352e-05 3.830011e-12
5.852189 1.955355e-04    1.932671e-04 2.967054e-05 1.640845e-12
6.916223 1.957586e-04    1.934181e-04 3.022370e-05 -2.634359e-12
7.980257 1.959148e-04    1.935697e-04 2.995128e-05 1.629680e-11
9.044291 1.957494e-04    1.934174e-04 3.017874e-05 -3.206548e-12
10.108326 1.870713e-04    1.846566e-04 2.998299e-05 -1.382963e-12
11.172360 1.415091e-04    1.394734e-04 2.379469e-05 5.813802e-12
12.236394 6.905602e-05    6.903493e-05 1.799713e-06 -3.265587e-13
13.300429 2.881553e-06    2.881469e-06 2.566447e-08 -1.774319e-16
14.364463 2.588122e-06    2.588084e-06 1.337056e-08 1.523737e-17
