# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 2.665630e-10 0.000000e+00 2.665621e-10 2
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 2.485048e-09 1.986415e-10 2.432131e-09 2
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 3.852969e-05 3.940210e-05 1.595849e-06 1
3.250000 9.269248e-05 8.451795e-05 3.684892e-05 1495
3.750000 1.043970e-04 9.487014e-05 4.406528e-05 28507
4.250000 1.190789e-04 1.080339e-04 4.994416e-05 44709
4.750000 1.309442e-04 1.204374e-04 5.126905e-05 45166
5.250000 1.367174e-04 1.268463e-04 5.115197e-05 45329
5.750000 1.366332e-04 1.267206e-04 5.117392e-05 45291
6.250000 1.370583e-04 1.273396e-04 5.095728e-05 45252
6.750000 1.370928e-04 1.271730e-04 5.084895e-05 45367
7.250000 1.365053e-04 1.267582e-04 5.122261e-05 45320
7.750000 1.367599e-04 1.269445e-04 5.103870e-05 45240
8.250000 1.367105e-04 1.270847e-04 5.072703e-05 45297
8.750000 1.368136e-04 1.271705e-04 5.069613e-05 45228
9.250000 1.371917e-04 1.272579e-04 5.126392e-05 45327
9.750000 1.361697e-04 1.263833e-04 5.093345e-05 45133
10.250000 1.304389e-04 1.198657e-04 5.094783e-05 45374
10.750000 1.186578e-04 1.073745e-04 5.016617e-05 44670
11.250000 1.044985e-04 9.484448e-05 4.414933e-05 26998
11.750000 8.996830e-05 8.215456e-05 3.819111e-05 1483
12.250000 8.797025e-05 8.604217e-05 4.359191e-05 4
12.750000 8.877605e-06 8.893733e-06 2.810340e-08 1
13.250000 1.316158e-07 1.481849e-07 1.696194e-08 1
13.750000 8.675485e-10 0.000000e+00 8.675510e-10 1
14.250000 2.198845e-10 0.000000e+00 2.198850e-10 1
14.750000 1.694647e-10 0.000000e+00 1.694640e-10 1
