# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 3.929627e-05 1.834410e-12 3.929627e-05 22
3.750000 4.898289e-05 2.535086e-12 4.898289e-05 565
4.250000 5.348193e-05 2.669361e-12 5.348193e-05 886
4.750000 6.256788e-05 2.613694e-12 6.256788e-05 933
5.250000 6.497861e-05 3.039728e-12 6.497861e-05 884
5.750000 6.584228e-05 3.178767e-12 6.584228e-05 906
6.250000 6.466630e-05 3.298300e-12 6.466630e-05 915
6.750000 6.506871e-05 3.166434e-12 6.506871e-05 906
7.250000 6.654484e-05 3.190259e-12 6.654484e-05 926
7.750000 6.471402e-05 3.215500e-12 6.471402e-05 901
8.250000 6.482233e-05 3.319100e-12 6.482233e-05 886
8.750000 6.618144e-05 3.259395e-12 6.618144e-05 916
9.250000 6.592651e-05 3.023480e-12 6.592651e-05 892
9.750000 6.430924e-05 2.998683e-12 6.430924e-05 924
10.250000 6.006700e-05 2.916855e-12 6.006700e-05 912
10.750000 5.461740e-05 3.161558e-12 5.461740e-05 903
11.250000 4.826238e-05 2.504502e-12 4.826238e-05 524
11.750000 4.328649e-05 1.967671e-12 4.328649e-05 23
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
