# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 4.644743e-05 1.395838e-05 4.646321e-05 17
3.750000 4.839293e-05 1.642014e-05 5.130539e-05 596
4.250000 5.485080e-05 1.682830e-05 5.758316e-05 886
4.750000 6.054456e-05 1.695183e-05 6.283179e-05 907
5.250000 6.480120e-05 1.699346e-05 6.692404e-05 892
5.750000 6.399131e-05 1.677748e-05 6.648795e-05 900
6.250000 6.566074e-05 1.693228e-05 6.782323e-05 915
6.750000 6.420888e-05 1.664383e-05 6.573979e-05 910
7.250000 6.574674e-05 1.692528e-05 6.762332e-05 917
7.750000 6.495589e-05 1.700921e-05 6.695295e-05 895
8.250000 6.345321e-05 1.682824e-05 6.592838e-05 912
8.750000 6.364738e-05 1.670823e-05 6.631254e-05 894
9.250000 6.422815e-05 1.683199e-05 6.641712e-05 905
9.750000 6.423126e-05 1.673084e-05 6.716800e-05 896
10.250000 6.195434e-05 1.672533e-05 6.429528e-05 906
10.750000 5.430418e-05 1.674640e-05 5.698349e-05 905
11.250000 4.792317e-05 1.605978e-05 5.026308e-05 548
11.750000 4.106769e-05 1.359405e-05 4.428763e-05 23
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
