# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 9.489901e-05    1.512852e-06 9.488695e-05 3.581592e-17
1.596051 9.492681e-05    2.753436e-06 9.488686e-05 -3.248144e-18
2.660086 1.016106e-04    3.558018e-05 9.517737e-05 2.283596e-14
3.724120 2.327310e-04    7.025597e-05 2.218530e-04 9.051837e-12
4.788154 2.950505e-04    9.259678e-05 2.801436e-04 1.941583e-13
5.852189 2.976469e-04    9.773025e-05 2.811427e-04 1.308335e-12
6.916223 2.978902e-04    9.783856e-05 2.813670e-04 -1.187407e-12
7.980257 2.964683e-04    9.789522e-05 2.798245e-04 8.232405e-12
9.044291 2.984903e-04    9.783113e-05 2.820054e-04 -1.505301e-12
10.108326 2.974262e-04    9.299067e-05 2.825164e-04 -4.140412e-13
11.172360 2.442967e-04    7.055575e-05 2.338797e-04 3.074487e-12
12.236394 1.018327e-04    3.610721e-05 9.521734e-05 -1.736052e-13
13.300429 9.490976e-05    2.082918e-06 9.488691e-05 -1.501775e-16
14.364463 9.490143e-05    1.662078e-06 9.488687e-05 3.425053e-18
