# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.519248e-06    1.512852e-06 1.391326e-07 3.581592e-17
1.596051 2.753799e-06    2.753436e-06 4.475513e-08 -3.248144e-18
2.660086 3.630782e-05    3.558018e-05 7.230879e-06 2.283596e-14
3.724120 2.124332e-04    7.025597e-05 2.004568e-04 9.051837e-12
4.788154 2.793766e-04    9.259678e-05 2.635848e-04 1.941583e-13
5.852189 2.821173e-04    9.773025e-05 2.646463e-04 1.308335e-12
6.916223 2.823739e-04    9.783856e-05 2.648846e-04 -1.187407e-12
7.980257 2.808735e-04    9.789522e-05 2.632456e-04 8.232405e-12
9.044291 2.830070e-04    9.783113e-05 2.655627e-04 -1.505301e-12
10.108326 2.818844e-04    9.299067e-05 2.661052e-04 -4.140412e-13
11.172360 2.250619e-04    7.055575e-05 2.137093e-04 3.074487e-12
12.236394 3.692070e-05    3.610721e-05 7.718858e-06 -1.736052e-13
13.300429 2.085100e-06    2.082918e-06 9.614941e-08 -1.501775e-16
14.364463 1.663068e-06    1.662078e-06 5.734340e-08 3.425053e-18
