# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.513050e-06    1.512852e-06 2.371820e-08 3.588637e-17
1.596051 2.753439e-06    2.753436e-06 3.984189e-09 -3.236925e-18
2.660086 3.560822e-05    3.558018e-05 1.404775e-06 2.286554e-14
3.724120 8.374656e-05    7.025597e-05 4.548105e-05 9.059413e-12
4.788154 1.100302e-04    9.259678e-05 5.943297e-05 1.927340e-13
5.852189 1.146175e-04    9.773025e-05 5.987195e-05 1.309033e-12
6.916223 1.147027e-04    9.783856e-05 5.987909e-05 -1.190561e-12
7.980257 1.146143e-04    9.789522e-05 5.953753e-05 8.239993e-12
9.044291 1.147708e-04    9.783113e-05 6.002432e-05 -1.507217e-12
10.108326 1.107552e-04    9.299067e-05 6.016529e-05 -4.144976e-13
11.172360 8.578044e-05    7.055575e-05 4.875544e-05 3.078157e-12
12.236394 3.613450e-05    3.610721e-05 1.464666e-06 -1.738589e-13
13.300429 2.082932e-06    2.082918e-06 1.442150e-08 -1.503556e-16
14.364463 1.662104e-06    1.662078e-06 9.120517e-09 3.424954e-18
