# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 nan    1.512852e-06 nan 3.588637e-17
1.596051 2.753436e-06    2.753436e-06 1.036260e-10 -3.236925e-18
2.660086 3.558394e-05    3.558018e-05 4.949737e-07 2.286554e-14
3.724120 7.436326e-05    7.025597e-05 2.418540e-05 9.059413e-12
4.788154 9.760821e-05    9.259678e-05 3.087082e-05 1.927340e-13
5.852189 1.026837e-04    9.773025e-05 3.148702e-05 1.309033e-12
6.916223 1.026872e-04    9.783856e-05 3.120030e-05 -1.190561e-12
7.980257 1.027780e-04    9.789522e-05 3.117055e-05 8.239993e-12
9.044291 1.027274e-04    9.783113e-05 3.136070e-05 -1.507217e-12
10.108326 9.817525e-05    9.299067e-05 3.148854e-05 -4.144976e-13
11.172360 7.532365e-05    7.055575e-05 2.631464e-05 3.078157e-12
12.236394 3.610999e-05    3.610721e-05 6.116567e-07 -1.738589e-13
13.300429 nan    2.082918e-06 nan -1.503556e-16
14.364463 nan    1.662078e-06 nan 3.424954e-18
