# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 3.920865e-05 0.000000e+00 3.920865e-05 2
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 3.098624e-05 1.986415e-10 3.098639e-05 2
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 5.531826e-05 1.792281e-05 4.301673e-05 1
3.250000 6.270787e-05 4.316367e-05 4.489947e-05 1495
3.750000 6.879102e-05 4.850361e-05 4.863456e-05 28507
4.250000 7.600147e-05 5.494446e-05 5.239781e-05 44709
4.750000 8.138986e-05 6.125209e-05 5.359007e-05 45166
5.250000 8.383183e-05 6.470397e-05 5.336102e-05 45329
5.750000 8.429596e-05 6.494069e-05 5.346207e-05 45291
6.250000 8.398450e-05 6.511032e-05 5.329686e-05 45252
6.750000 8.401961e-05 6.487234e-05 5.325392e-05 45367
7.250000 8.426310e-05 6.501528e-05 5.351230e-05 45320
7.750000 8.411162e-05 6.496712e-05 5.324770e-05 45240
8.250000 8.367471e-05 6.494770e-05 5.294825e-05 45297
8.750000 8.400683e-05 6.512074e-05 5.300888e-05 45228
9.250000 8.419433e-05 6.497038e-05 5.349327e-05 45327
9.750000 8.356009e-05 6.433537e-05 5.316215e-05 45133
10.250000 8.086140e-05 6.105806e-05 5.317742e-05 45374
10.750000 7.559147e-05 5.469387e-05 5.259313e-05 44670
11.250000 6.901560e-05 4.847730e-05 4.894243e-05 26998
11.750000 6.198211e-05 4.239866e-05 4.491061e-05 1483
12.250000 6.694113e-05 4.340255e-05 4.670888e-05 4
12.750000 3.001563e-05 6.041073e-06 3.295365e-05 1
13.250000 3.912117e-05 1.481849e-07 3.919851e-05 1
13.750000 2.005695e-05 0.000000e+00 2.005695e-05 1
14.250000 2.661985e-05 0.000000e+00 2.661985e-05 1
14.750000 4.543726e-05 0.000000e+00 4.543726e-05 1
