# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 2.381879e-06 2.512148e-15 2.381879e-06 2
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 2.419820e-06 1.986415e-10 2.419877e-06 2
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 1.755756e-05 1.792281e-05 2.732851e-06 1
3.250000 4.555618e-05 4.316367e-05 1.449735e-05 1495
3.750000 5.119892e-05 4.850361e-05 1.633248e-05 28507
4.250000 5.743509e-05 5.494461e-05 1.688851e-05 44709
4.750000 6.356275e-05 6.125212e-05 1.687872e-05 45166
5.250000 6.684957e-05 6.470403e-05 1.686418e-05 45329
5.750000 6.709722e-05 6.494069e-05 1.688816e-05 45291
6.250000 6.724773e-05 6.511019e-05 1.691222e-05 45252
6.750000 6.698429e-05 6.487225e-05 1.687024e-05 45367
7.250000 6.717702e-05 6.501524e-05 1.684486e-05 45320
7.750000 6.711254e-05 6.496710e-05 1.690018e-05 45240
8.250000 6.715671e-05 6.494758e-05 1.688283e-05 45297
8.750000 6.718008e-05 6.512064e-05 1.686689e-05 45228
9.250000 6.707936e-05 6.497032e-05 1.690915e-05 45327
9.750000 6.654994e-05 6.433537e-05 1.688838e-05 45133
10.250000 6.339416e-05 6.105802e-05 1.689292e-05 45374
10.750000 5.720707e-05 5.469394e-05 1.690540e-05 44670
11.250000 5.126039e-05 4.847726e-05 1.625798e-05 26998
11.750000 4.473596e-05 4.239866e-05 1.469042e-05 1483
12.250000 4.752432e-05 4.340255e-05 1.274120e-05 4
12.750000 8.198248e-06 6.041073e-06 2.314354e-06 1
13.250000 1.443264e-06 1.481849e-07 1.381752e-06 1
13.750000 1.675295e-06 0.000000e+00 1.675295e-06 1
14.250000 1.979434e-06 0.000000e+00 1.979434e-06 1
14.750000 1.874435e-06 0.000000e+00 1.874435e-06 1
