# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 5.831719e-05 0.000000e+00 5.831719e-05 2
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 7.131073e-05 1.986415e-10 7.131064e-05 2
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 2.020431e-05 1.792281e-05 3.457167e-05 1
3.250000 9.471568e-05 4.316367e-05 8.547652e-05 1495
3.750000 1.030439e-04 4.850361e-05 9.056555e-05 28507
4.250000 1.109841e-04 5.494446e-05 9.632316e-05 44709
4.750000 1.143427e-04 6.125209e-05 9.643483e-05 45166
5.250000 1.161286e-04 6.470397e-05 9.647594e-05 45329
5.750000 1.163074e-04 6.494069e-05 9.634155e-05 45291
6.250000 1.165089e-04 6.511032e-05 9.631562e-05 45252
6.750000 1.160135e-04 6.487234e-05 9.626274e-05 45367
7.250000 1.165148e-04 6.501528e-05 9.643570e-05 45320
7.750000 1.162190e-04 6.496712e-05 9.626698e-05 45240
8.250000 1.160433e-04 6.494770e-05 9.624314e-05 45297
8.750000 1.163195e-04 6.512074e-05 9.640796e-05 45228
9.250000 1.164604e-04 6.497038e-05 9.656562e-05 45327
9.750000 1.161037e-04 6.433537e-05 9.650231e-05 45133
10.250000 1.138988e-04 6.105806e-05 9.629743e-05 45374
10.750000 1.104430e-04 5.469387e-05 9.623578e-05 44670
11.250000 1.027720e-04 4.847730e-05 9.037195e-05 26998
11.750000 9.661046e-05 4.239866e-05 8.714145e-05 1483
12.250000 9.910831e-05 4.340255e-05 7.284058e-05 4
12.750000 9.274475e-05 6.041073e-06 9.246582e-05 1
13.250000 9.532454e-06 1.481849e-07 9.526623e-06 1
13.750000 3.284111e-05 0.000000e+00 3.284111e-05 1
14.250000 5.931358e-05 0.000000e+00 5.931358e-05 1
14.750000 7.590408e-05 0.000000e+00 7.590408e-05 1
