# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 1.228244e-11 2.512148e-15 1.228426e-11 2
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 2.492337e-10 1.986415e-10 2.196266e-10 2
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 1.798772e-05 1.792281e-05 7.928567e-07 1
3.250000 4.547844e-05 4.316367e-05 1.435285e-05 1495
3.750000 5.116235e-05 4.850361e-05 1.622444e-05 28507
4.250000 5.740373e-05 5.494461e-05 1.679370e-05 44709
4.750000 6.354362e-05 6.125212e-05 1.678567e-05 45166
5.250000 6.682779e-05 6.470403e-05 1.677009e-05 45329
5.750000 6.707368e-05 6.494069e-05 1.678665e-05 45291
6.250000 6.722176e-05 6.511019e-05 1.681695e-05 45252
6.750000 6.696923e-05 6.487225e-05 1.676332e-05 45367
7.250000 6.714785e-05 6.501524e-05 1.674849e-05 45320
7.750000 6.708951e-05 6.496710e-05 1.679694e-05 45240
8.250000 6.713681e-05 6.494758e-05 1.678256e-05 45297
8.750000 6.715794e-05 6.512064e-05 1.676944e-05 45228
9.250000 6.705441e-05 6.497032e-05 1.680844e-05 45327
9.750000 6.652217e-05 6.433537e-05 1.678862e-05 45133
10.250000 6.337242e-05 6.105802e-05 1.679382e-05 45374
10.750000 5.717510e-05 5.469394e-05 1.679968e-05 44670
11.250000 5.122670e-05 4.847726e-05 1.614504e-05 26998
11.750000 4.469221e-05 4.239866e-05 1.454882e-05 1483
12.250000 4.807753e-05 4.340255e-05 1.266937e-05 4
12.750000 6.030384e-06 6.041073e-06 1.326891e-08 1
13.250000 1.476071e-07 1.481849e-07 6.289350e-10 1
13.750000 4.843571e-11 0.000000e+00 4.843803e-11 1
14.250000 1.391212e-11 0.000000e+00 1.391175e-11 1
14.750000 1.001746e-11 0.000000e+00 1.001751e-11 1
