# 1          2        3       4                5        6       7
# x  meanFx(r)  meanFxR meanFxI  meanFyR meanFyI  meanFzR meanFzI
0.256836 -9.646275e-08     -9.646275e-08 0.000000e+00  7.967280e-09 0.000000e+00  -2.560173e-09 0.000000e+00
0.770508 1.098164e-07     1.098164e-07 0.000000e+00  -9.262132e-09 0.000000e+00  -1.924362e-10 0.000000e+00
1.284179 -1.181350e-07     -1.181350e-07 0.000000e+00  1.991149e-08 0.000000e+00  7.081916e-09 0.000000e+00
1.797851 1.966446e-07     1.966446e-07 0.000000e+00  -1.922663e-08 0.000000e+00  -8.788911e-09 0.000000e+00
2.311523 -2.173263e-07     -2.173263e-07 0.000000e+00  1.880805e-08 0.000000e+00  4.934081e-08 0.000000e+00
2.825194 1.953621e-07     1.953621e-07 0.000000e+00  -2.130101e-07 0.000000e+00  -7.948939e-09 0.000000e+00
3.338866 -3.333193e-07     -3.333193e-07 0.000000e+00  -3.888329e-07 0.000000e+00  -2.834207e-07 0.000000e+00
3.852538 -5.307901e-07     -5.307901e-07 0.000000e+00  3.589620e-07 0.000000e+00  5.509345e-07 0.000000e+00
4.366210 5.129735e-07     5.129735e-07 0.000000e+00  -5.685808e-07 0.000000e+00  1.910515e-07 0.000000e+00
4.879881 -6.604829e-09     -6.604829e-09 0.000000e+00  -4.132990e-07 0.000000e+00  -4.421719e-07 0.000000e+00
5.393553 3.024333e-08     3.024333e-08 0.000000e+00  -1.999456e-07 0.000000e+00  -4.074143e-07 0.000000e+00
5.907225 4.307011e-07     4.307011e-07 0.000000e+00  -3.328917e-07 0.000000e+00  -1.158441e-07 0.000000e+00
6.420896 -2.686774e-07     -2.686774e-07 0.000000e+00  5.336645e-07 0.000000e+00  6.094673e-07 0.000000e+00
6.934568 -9.839747e-08     -9.839747e-08 0.000000e+00  4.250773e-07 0.000000e+00  -5.531629e-08 0.000000e+00
7.448240 4.857889e-07     4.857889e-07 0.000000e+00  1.495723e-07 0.000000e+00  4.943495e-07 0.000000e+00
7.961912 -9.405777e-10     -9.405777e-10 0.000000e+00  -5.395688e-07 0.000000e+00  7.486256e-07 0.000000e+00
8.475583 -2.310261e-07     -2.310261e-07 0.000000e+00  -4.671460e-07 0.000000e+00  3.334271e-07 0.000000e+00
8.989255 -1.327516e-07     -1.327516e-07 0.000000e+00  3.063437e-08 0.000000e+00  -5.302488e-07 0.000000e+00
9.502927 -1.547483e-07     -1.547483e-07 0.000000e+00  6.218628e-07 0.000000e+00  1.423489e-08 0.000000e+00
10.016598 2.917125e-07     2.917125e-07 0.000000e+00  -6.831700e-08 0.000000e+00  7.531496e-08 0.000000e+00
10.530270 -7.608808e-08     -7.608808e-08 0.000000e+00  -3.350807e-07 0.000000e+00  8.630202e-08 0.000000e+00
11.043942 -1.381031e-07     -1.381031e-07 0.000000e+00  -4.776788e-07 0.000000e+00  -3.139281e-07 0.000000e+00
11.557613 4.007569e-07     4.007569e-07 0.000000e+00  -2.404979e-07 0.000000e+00  -2.030750e-07 0.000000e+00
12.071285 -1.384936e-07     -1.384936e-07 0.000000e+00  -6.875061e-08 0.000000e+00  -7.118045e-08 0.000000e+00
12.584957 -3.665944e-08     -3.665944e-08 0.000000e+00  -2.993559e-08 0.000000e+00  -1.202058e-09 0.000000e+00
13.098629 -1.776962e-07     -1.776962e-07 0.000000e+00  -7.470141e-09 0.000000e+00  3.263725e-09 0.000000e+00
13.612300 1.066759e-07     1.066759e-07 0.000000e+00  5.870195e-10 0.000000e+00  -5.297042e-09 0.000000e+00
14.125972 -1.062036e-07     -1.062036e-07 0.000000e+00  2.150968e-09 0.000000e+00  3.026330e-09 0.000000e+00
14.639644 1.017484e-07     1.017484e-07 0.000000e+00  -3.373883e-09 0.000000e+00  2.077945e-09 0.000000e+00
