# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
0.061556 -nan   1.496252e-17 4.007364e-37   1.146237e-14 -6.038418e-23   -1.166070e-14 3.138188e-26
0.184667 -nan   2.050441e-17 3.805612e-37   1.499921e-14 -6.882143e-22   -1.517918e-14 2.704758e-25
0.307779 -nan   1.611953e-17 8.712677e-37   1.144652e-14 -1.482308e-21   -1.165702e-14 4.457717e-25
0.430890 -nan   7.403240e-18 4.163739e-37   4.964955e-15 -4.499863e-22   -5.148562e-15 1.003435e-25
0.554001 -nan   2.155621e-18 6.388332e-37   1.260073e-15 -3.970467e-22   -1.337232e-15 -8.111534e-26
0.677113 -nan   6.480277e-19 1.396227e-38   3.536032e-16 -9.529121e-22   -3.660240e-16 -1.562084e-25
0.800224 5.329564e-10   2.954724e-19 2.678870e-38   2.000373e-16 -9.661470e-22   -2.000488e-16 1.252386e-25
0.923336 3.684257e-10   1.363956e-19 1.219262e-37   1.118765e-16 -1.416133e-21   -1.118771e-16 1.019614e-25
1.046447 -nan   5.299519e-20 3.577863e-37   5.306805e-17 -6.617445e-22   -5.331788e-17 7.872588e-26
1.169558 -nan   1.645800e-20 2.441348e-37   2.480981e-17 -1.005852e-21   -2.492589e-17 -4.675278e-25
1.292670 1.436536e-11   4.659179e-21 2.549295e-37   1.445474e-17 0.000000e+00   -1.445920e-17 -3.187151e-25
1.415781 1.572745e-10   2.115725e-21 1.243222e-37   1.142338e-17 -3.267049e-22   -1.140076e-17 -2.894279e-25
1.538893 1.439630e-10   1.374838e-21 2.091324e-37   1.278827e-17 1.900226e-22   -1.276892e-17 -5.076838e-25
1.662004 5.708294e-11   5.268385e-22 4.566231e-37   2.209468e-17 -1.856229e-21   -2.209195e-17 2.872901e-25
1.785115 2.367009e-10   7.462996e-21 2.567908e-37   5.221017e-17 -6.385155e-22   -5.216160e-17 -2.741350e-26
1.908227 2.138095e-09   4.860283e-19 3.956468e-37   1.634739e-16 -4.464262e-22   -1.593885e-16 -5.856879e-25
2.031338 5.042506e-09   1.124578e-17 1.339464e-36   1.202717e-15 -1.872439e-21   -1.188536e-15 -9.333280e-25
2.154450 -nan   1.011776e-16 4.253615e-37   1.423486e-14 -2.542428e-21   -1.480622e-14 -4.351763e-26
2.277561 -nan   3.154459e-16 2.411514e-37   1.131669e-13 -5.448529e-22   -1.167749e-13 -5.961073e-25
2.400672 8.132007e-08   3.488359e-16 3.256589e-37   5.470300e-13 -9.164534e-22   -5.407659e-13 -5.961942e-25
2.523784 2.245861e-07   1.082425e-15 1.546920e-37   2.082027e-12 -3.631554e-22   -2.032670e-12 -5.456377e-25
2.646895 4.265911e-07   2.316699e-15 2.450098e-37   8.168384e-12 6.660102e-22   -7.988720e-12 -1.044008e-24
2.770007 1.064822e-06   1.089838e-14 1.275254e-37   2.749772e-11 -4.397485e-23   -2.637478e-11 -4.153244e-25
2.893118 1.928200e-06   4.294397e-14 1.657384e-37   7.829078e-11 4.551861e-22   -7.461577e-11 -1.014118e-24
3.016229 3.535949e-06   4.669240e-13 4.019962e-37   2.135120e-10 -1.337674e-21   -2.014760e-10 -6.752178e-25
3.139341 5.703437e-06   7.282641e-13 9.922063e-38   4.975107e-10 -9.143942e-22   -4.657098e-10 -3.635948e-25
3.262452 8.590716e-06   2.411025e-12 2.915824e-38   1.040503e-09 2.606195e-24   -9.691132e-10 -3.656321e-25
3.385564 1.252229e-05   7.799697e-12 2.318122e-37   2.084653e-09 -2.725750e-21   -1.935645e-09 -7.489670e-25
3.508675 1.676056e-05   5.886433e-12 2.533088e-37   3.722344e-09 -3.310771e-21   -3.447314e-09 2.206882e-25
3.631786 2.130883e-05   1.552096e-11 2.992627e-37   5.719341e-09 -5.600880e-22   -5.280795e-09 -1.002404e-24
3.754898 2.514426e-05   2.004394e-11 2.750427e-37   7.875159e-09 -1.719250e-21   -7.262969e-09 -6.899187e-25
3.878009 2.789660e-05   6.875139e-12 3.822771e-37   9.788091e-09 -9.134933e-22   -9.016747e-09 6.216321e-25
4.001121 2.944776e-05   1.830750e-11 7.299084e-37   1.094401e-08 1.098983e-21   -1.009515e-08 -7.474457e-25
4.124232 3.022239e-05   1.137464e-11 4.335761e-37   1.171404e-08 -1.376458e-22   -1.081203e-08 -5.110166e-25
4.247343 3.075000e-05   6.386736e-12 4.983599e-37   1.221825e-08 6.591589e-22   -1.127907e-08 -1.287588e-24
4.370455 3.093363e-05   1.901109e-11 6.063150e-37   1.233576e-08 -8.900236e-22   -1.139788e-08 -1.019121e-24
4.493566 3.087464e-05   4.171614e-12 3.607178e-37   1.238664e-08 -8.056789e-22   -1.143756e-08 -5.251194e-25
4.616678 3.115742e-05   4.885058e-12 1.052173e-36   1.245132e-08 1.022660e-22   -1.148542e-08 -6.408653e-26
4.739789 3.072197e-05   1.210104e-11 3.575617e-37   1.226526e-08 -3.583856e-21   -1.133352e-08 -6.170455e-25
4.862900 3.110086e-05   4.082465e-12 3.213804e-37   1.251906e-08 -3.061705e-21   -1.155588e-08 -1.858735e-25
4.986012 3.138360e-05   1.198944e-11 3.201516e-37   1.271368e-08 -9.821793e-22   -1.174074e-08 -1.145491e-24
5.109123 3.136454e-05   5.932345e-12 3.763827e-38   1.265961e-08 -1.611554e-21   -1.168181e-08 -5.016064e-25
5.232235 3.159149e-05   6.635429e-12 3.067013e-37   1.278369e-08 -7.340756e-22   -1.179230e-08 2.587172e-25
5.355346 3.190639e-05   1.939306e-11 1.815054e-37   1.282245e-08 1.019304e-21   -1.182382e-08 -8.932308e-25
5.478457 3.141658e-05   6.203099e-12 5.921989e-37   1.268013e-08 1.735477e-22   -1.169933e-08 -3.380210e-25
5.601569 3.132845e-05   2.432343e-12 3.629707e-37   1.271167e-08 1.082024e-21   -1.173263e-08 -9.335679e-25
5.724680 3.141124e-05   4.912792e-12 1.242890e-36   1.269399e-08 5.668855e-22   -1.171224e-08 -1.070005e-24
5.847792 3.148919e-05   1.991303e-12 5.414657e-37   1.268910e-08 -6.177559e-22   -1.169952e-08 -2.060179e-25
5.970903 3.142831e-05   2.875779e-12 1.662359e-37   1.268529e-08 -3.067743e-23   -1.170042e-08 2.796618e-25
6.094014 3.082338e-05   1.966521e-12 1.269477e-37   1.237952e-08 -2.890618e-21   -1.143141e-08 -2.551491e-25
6.217126 3.075401e-05   2.171227e-12 5.208176e-37   1.227260e-08 -2.420959e-21   -1.132896e-08 -1.069995e-25
6.340237 3.070978e-05   1.277298e-12 1.124329e-36   1.237259e-08 -1.041576e-21   -1.143078e-08 -7.083285e-25
6.463349 3.108957e-05   6.059077e-13 6.190419e-37   1.257741e-08 -1.613171e-21   -1.161146e-08 -2.641408e-26
6.586460 3.143522e-05   1.344726e-13 8.261810e-37   1.268491e-08 -6.913439e-22   -1.169687e-08 3.051916e-25
