# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 6.753094e-07    6.740033e-07 4.177548e-08 1.705062e-17
1.596051 1.130531e-06    1.130524e-06 4.098252e-09 -1.734129e-18
2.660086 1.566815e-05    1.535507e-05 3.114135e-06 1.512807e-14
3.724120 9.041417e-05    2.913397e-05 8.557344e-05 3.120853e-12
4.788154 1.176130e-04    3.820882e-05 1.112368e-04 -7.306150e-13
5.852189 1.197343e-04    4.055371e-05 1.126542e-04 7.304255e-13
6.916223 1.197048e-04    4.061092e-05 1.126071e-04 -3.715636e-13
7.980257 1.190827e-04    4.062401e-05 1.119247e-04 3.251183e-12
9.044291 1.195073e-04    4.060542e-05 1.123997e-04 -4.998121e-13
10.108326 1.193546e-04    3.837358e-05 1.130178e-04 -4.511928e-14
11.172360 9.646363e-05    2.928355e-05 9.190436e-05 1.293043e-12
12.236394 1.592334e-05    1.557154e-05 3.339574e-06 -7.280457e-14
13.300429 9.327926e-07    9.325293e-07 2.418472e-08 -9.385940e-17
14.364463 8.183446e-07    8.181977e-07 1.552856e-08 -7.208121e-19
