# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 4.363747e-05 1.719045e-05 4.018779e-05 98
3.750000 5.425038e-05 2.016088e-05 5.023058e-05 2893
4.250000 5.980590e-05 2.290538e-05 5.535270e-05 4460
4.750000 6.236896e-05 2.554854e-05 5.693617e-05 4548
5.250000 6.339618e-05 2.714072e-05 5.701503e-05 4513
5.750000 6.376887e-05 2.757100e-05 5.728129e-05 4535
6.250000 6.371189e-05 2.741912e-05 5.738225e-05 4511
6.750000 6.385736e-05 2.739547e-05 5.752677e-05 4552
7.250000 6.318129e-05 2.704480e-05 5.697739e-05 4515
7.750000 6.268821e-05 2.713279e-05 5.623610e-05 4547
8.250000 6.300739e-05 2.730614e-05 5.633588e-05 4570
8.750000 6.189345e-05 2.728983e-05 5.603380e-05 4506
9.250000 6.392565e-05 2.754163e-05 5.799870e-05 4531
9.750000 6.276972e-05 2.657415e-05 5.661349e-05 4486
10.250000 6.200694e-05 2.562007e-05 5.632644e-05 4543
10.750000 6.008399e-05 2.289665e-05 5.562883e-05 4463
11.250000 5.406136e-05 2.028191e-05 5.003520e-05 2727
11.750000 4.530458e-05 1.733864e-05 4.109782e-05 122
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
