# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.977566e-05 1.719045e-05 1.035741e-05 98
3.750000 2.213952e-05 2.016088e-05 8.852265e-06 2893
4.250000 2.445724e-05 2.290538e-05 8.578973e-06 4460
4.750000 2.698947e-05 2.554854e-05 8.655613e-06 4548
5.250000 2.851401e-05 2.714072e-05 8.325254e-06 4513
5.750000 2.881132e-05 2.757100e-05 8.454212e-06 4535
6.250000 2.869535e-05 2.741912e-05 8.489561e-06 4511
6.750000 2.867439e-05 2.739547e-05 8.461665e-06 4552
7.250000 2.822618e-05 2.704480e-05 8.408300e-06 4515
7.750000 2.832335e-05 2.713279e-05 8.503792e-06 4547
8.250000 2.863893e-05 2.730614e-05 8.604084e-06 4570
8.750000 2.863497e-05 2.728983e-05 8.578649e-06 4506
9.250000 2.870339e-05 2.754163e-05 8.493894e-06 4531
9.750000 2.795236e-05 2.657415e-05 8.711981e-06 4486
10.250000 2.707872e-05 2.562007e-05 8.707847e-06 4543
10.750000 2.446799e-05 2.289665e-05 8.651649e-06 4463
11.250000 2.222218e-05 2.028191e-05 8.975349e-06 2727
11.750000 1.996333e-05 1.733864e-05 1.031258e-05 122
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
