# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 4.007337e-05 1.719045e-05 3.727240e-05 98
3.750000 4.811600e-05 2.016088e-05 4.343149e-05 2893
4.250000 5.460263e-05 2.290538e-05 4.978752e-05 4460
4.750000 5.671824e-05 2.554854e-05 5.056525e-05 4548
5.250000 5.784764e-05 2.714072e-05 5.094245e-05 4513
5.750000 5.889701e-05 2.757100e-05 5.167349e-05 4535
6.250000 5.862912e-05 2.741912e-05 5.167661e-05 4511
6.750000 5.887667e-05 2.739547e-05 5.166804e-05 4552
7.250000 5.794168e-05 2.704480e-05 5.127383e-05 4515
7.750000 5.712673e-05 2.713279e-05 5.025203e-05 4547
8.250000 5.717487e-05 2.730614e-05 4.998025e-05 4570
8.750000 5.706227e-05 2.728983e-05 5.040081e-05 4506
9.250000 5.853232e-05 2.754163e-05 5.190286e-05 4531
9.750000 5.719438e-05 2.657415e-05 5.068975e-05 4486
10.250000 5.620860e-05 2.562007e-05 5.027091e-05 4543
10.750000 5.440022e-05 2.289665e-05 4.931982e-05 4463
11.250000 4.849526e-05 2.028191e-05 4.395649e-05 2727
11.750000 4.147023e-05 1.733864e-05 3.806708e-05 122
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
