# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.975242e-05 1.719045e-05 1.032366e-05 98
3.750000 2.213441e-05 2.016088e-05 8.849820e-06 2893
4.250000 2.445510e-05 2.290538e-05 8.572805e-06 4460
4.750000 2.698714e-05 2.554854e-05 8.654440e-06 4548
5.250000 2.851123e-05 2.714072e-05 8.320015e-06 4513
5.750000 2.881795e-05 2.757100e-05 8.454051e-06 4535
6.250000 2.868626e-05 2.741912e-05 8.478598e-06 4511
6.750000 2.867319e-05 2.739547e-05 8.451605e-06 4552
7.250000 2.822256e-05 2.704480e-05 8.403488e-06 4515
7.750000 2.831841e-05 2.713279e-05 8.497863e-06 4547
8.250000 2.864394e-05 2.730614e-05 8.605417e-06 4570
8.750000 2.863369e-05 2.728983e-05 8.577635e-06 4506
9.250000 2.870419e-05 2.754163e-05 8.497186e-06 4531
9.750000 2.794857e-05 2.657415e-05 8.702377e-06 4486
10.250000 2.707939e-05 2.562007e-05 8.705907e-06 4543
10.750000 2.446701e-05 2.289665e-05 8.648739e-06 4463
11.250000 2.222127e-05 2.028191e-05 8.972748e-06 2727
11.750000 1.995099e-05 1.733864e-05 1.029666e-05 122
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
