# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.399961e-05 8.331673e-05 9.762124e-06 98
3.750000 9.470077e-05 9.413922e-05 1.238973e-05 2893
4.250000 1.084908e-04 1.076371e-04 1.397267e-05 4460
4.750000 1.219548e-04 1.210647e-04 1.409782e-05 4548
5.250000 1.273259e-04 1.264693e-04 1.433188e-05 4513
5.750000 1.281436e-04 1.272182e-04 1.413036e-05 4535
6.250000 1.275528e-04 1.268320e-04 1.442940e-05 4511
6.750000 1.280112e-04 1.272537e-04 1.443940e-05 4552
7.250000 1.268336e-04 1.261528e-04 1.434307e-05 4515
7.750000 1.279491e-04 1.271832e-04 1.429304e-05 4547
8.250000 1.276044e-04 1.268206e-04 1.438830e-05 4570
8.750000 1.273761e-04 1.267289e-04 1.426385e-05 4506
9.250000 1.288315e-04 1.278935e-04 1.418469e-05 4531
9.750000 1.283005e-04 1.275996e-04 1.401104e-05 4486
10.250000 1.196404e-04 1.189004e-04 1.429563e-05 4543
10.750000 1.084295e-04 1.075310e-04 1.404314e-05 4463
11.250000 9.507558e-05 9.432417e-05 1.233878e-05 2727
11.750000 8.713081e-05 8.596910e-05 1.054132e-05 122
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
