# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.500000 4.971534e-05 1.248698e-08 4.971400e-05 40
1.500000 5.193999e-05 1.424438e-08 5.193980e-05 46
2.500000 4.746088e-05 1.459285e-08 4.746173e-05 49
3.500000 5.608917e-05 1.353225e-08 5.609143e-05 37
4.500000 5.465572e-05 1.538432e-08 5.465644e-05 39
5.500000 4.526694e-05 1.353504e-08 4.526780e-05 42
6.500000 5.188655e-05 1.545740e-08 5.188722e-05 51
7.500000 8.202502e-05 1.643113e-08 8.202152e-05 49
8.500000 1.155680e-04 1.520625e-08 1.155669e-04 49
9.500000 1.463263e-04 2.212686e-08 1.463265e-04 195
10.500000 1.618434e-04 2.607402e-08 1.618424e-04 625
11.500000 1.789705e-04 2.820431e-08 1.789699e-04 810
12.500000 1.926362e-04 2.960387e-08 1.926356e-04 808
13.500000 2.019144e-04 2.933240e-08 2.019148e-04 783
14.500000 2.148683e-04 3.069534e-08 2.148679e-04 812
15.500000 2.114419e-04 3.114898e-08 2.114421e-04 853
16.500000 2.075031e-04 2.878539e-08 2.075020e-04 794
17.500000 2.143980e-04 3.062555e-08 2.143968e-04 785
18.500000 2.057062e-04 3.043094e-08 2.057046e-04 794
19.500000 2.061076e-04 2.987718e-08 2.061081e-04 792
20.500000 2.090415e-04 3.154113e-08 2.090406e-04 811
21.500000 2.084347e-04 3.225353e-08 2.084331e-04 836
22.500000 2.108715e-04 3.014178e-08 2.108709e-04 768
23.500000 2.089017e-04 2.929950e-08 2.089017e-04 760
24.500000 2.066397e-04 2.977571e-08 2.066387e-04 828
25.500000 2.104480e-04 2.832792e-08 2.104474e-04 798
26.500000 2.095027e-04 2.866277e-08 2.095005e-04 763
27.500000 1.973015e-04 2.929881e-08 1.973015e-04 806
28.500000 1.769095e-04 2.655367e-08 1.769079e-04 789
29.500000 1.561132e-04 2.548905e-08 1.561121e-04 670
30.500000 1.444001e-04 2.318188e-08 1.443994e-04 170
31.500000 1.129085e-04 1.858000e-08 1.129090e-04 37
32.500000 8.604827e-05 1.461820e-08 8.604716e-05 31
33.500000 4.553872e-05 1.748650e-08 4.553497e-05 35
34.500000 4.027307e-05 1.585676e-08 4.027259e-05 47
35.500000 3.520888e-05 1.630752e-08 3.520736e-05 28
36.500000 4.308364e-05 1.319338e-08 4.308084e-05 45
37.500000 3.914490e-05 1.095034e-08 3.914514e-05 48
38.500000 3.856523e-05 1.406960e-08 3.856428e-05 38
39.500000 4.992908e-05 1.304210e-08 4.992994e-05 39
