# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.500000 5.149078e-05 1.237025e-04 1.368066e-04 46
1.500000 4.202287e-05 1.277629e-04 1.405115e-04 43
2.500000 5.381753e-05 1.145559e-04 1.180714e-04 31
3.500000 4.999593e-05 1.292088e-04 1.394963e-04 39
4.500000 4.334970e-05 1.196769e-04 1.278461e-04 33
5.500000 3.957427e-05 1.215327e-04 1.276434e-04 39
6.500000 4.853029e-05 1.224299e-04 1.341203e-04 48
7.500000 7.288186e-05 1.204194e-04 1.511308e-04 37
8.500000 1.009644e-04 1.058672e-04 1.476700e-04 29
9.500000 1.419438e-04 1.695454e-04 2.228916e-04 166
10.500000 1.623364e-04 2.270079e-04 2.787500e-04 694
11.500000 1.831912e-04 2.594722e-04 3.171709e-04 755
12.500000 1.934917e-04 2.499599e-04 3.097446e-04 775
13.500000 2.115691e-04 2.567741e-04 3.311763e-04 847
14.500000 2.165918e-04 2.524846e-04 3.353085e-04 804
15.500000 2.100028e-04 2.701693e-04 3.403058e-04 833
16.500000 2.104176e-04 2.575626e-04 3.369091e-04 828
17.500000 2.150344e-04 2.662701e-04 3.415849e-04 808
18.500000 2.028930e-04 2.474308e-04 3.182728e-04 774
19.500000 2.073786e-04 2.534685e-04 3.264997e-04 746
20.500000 2.028531e-04 2.722274e-04 3.358998e-04 802
21.500000 2.035870e-04 2.726873e-04 3.413797e-04 771
22.500000 2.114652e-04 2.737994e-04 3.474695e-04 824
23.500000 2.133802e-04 2.581380e-04 3.356263e-04 775
24.500000 2.106124e-04 2.615036e-04 3.284954e-04 802
25.500000 2.055498e-04 2.678889e-04 3.389704e-04 822
26.500000 2.089217e-04 2.766738e-04 3.526713e-04 802
27.500000 2.072132e-04 2.827420e-04 3.558494e-04 797
28.500000 1.877318e-04 2.880946e-04 3.449782e-04 793
29.500000 1.646388e-04 2.374762e-04 2.879763e-04 681
30.500000 1.449783e-04 1.706881e-04 2.229427e-04 170
31.500000 1.198467e-04 1.226438e-04 1.652940e-04 35
32.500000 9.076492e-05 1.207023e-04 1.539158e-04 47
33.500000 4.903899e-05 1.135227e-04 1.260877e-04 52
34.500000 4.675267e-05 1.148884e-04 1.305076e-04 51
35.500000 5.422045e-05 1.271712e-04 1.390180e-04 40
36.500000 5.210299e-05 1.205039e-04 1.334766e-04 41
37.500000 5.088030e-05 1.279193e-04 1.401993e-04 35
38.500000 5.166748e-05 1.163894e-04 1.251270e-04 51
39.500000 4.618235e-05 1.090399e-04 1.215865e-04 34
