# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.500000 4.389494e-05 3.057044e-05 5.372658e-05 42
1.500000 4.656647e-05 3.006843e-05 5.900295e-05 34
2.500000 5.757149e-05 3.535541e-05 7.067052e-05 35
3.500000 5.224356e-05 3.284800e-05 6.200667e-05 46
4.500000 4.835096e-05 2.551934e-05 5.431656e-05 44
5.500000 5.402359e-05 1.989299e-05 5.632290e-05 38
6.500000 4.406044e-05 3.664153e-05 5.419130e-05 31
7.500000 8.129815e-05 3.467960e-05 9.039180e-05 47
8.500000 1.040813e-04 5.134407e-05 1.175996e-04 36
9.500000 1.458121e-04 9.023671e-05 1.738731e-04 163
10.500000 1.625017e-04 1.380588e-04 2.140937e-04 650
11.500000 1.779751e-04 1.474578e-04 2.269602e-04 793
12.500000 1.957038e-04 1.627142e-04 2.495995e-04 819
13.500000 2.068334e-04 1.599981e-04 2.601679e-04 796
14.500000 2.133592e-04 1.598410e-04 2.650214e-04 827
15.500000 2.110086e-04 1.553821e-04 2.642746e-04 790
16.500000 2.079790e-04 1.614728e-04 2.666124e-04 834
17.500000 2.059457e-04 1.546842e-04 2.628278e-04 779
18.500000 2.119096e-04 1.537205e-04 2.610244e-04 791
19.500000 2.122127e-04 1.543799e-04 2.608766e-04 802
20.500000 2.107090e-04 1.553465e-04 2.584841e-04 822
21.500000 2.143089e-04 1.594408e-04 2.626023e-04 791
22.500000 2.091450e-04 1.624385e-04 2.633443e-04 826
23.500000 2.092407e-04 1.561209e-04 2.552204e-04 848
24.500000 2.058919e-04 1.552232e-04 2.634357e-04 838
25.500000 1.979698e-04 1.577355e-04 2.557069e-04 805
26.500000 2.029120e-04 1.520390e-04 2.510978e-04 835
27.500000 1.897060e-04 1.519827e-04 2.435891e-04 730
28.500000 1.760404e-04 1.410935e-04 2.280072e-04 756
29.500000 1.567610e-04 1.285985e-04 2.064576e-04 609
30.500000 1.447828e-04 9.357025e-05 1.703859e-04 175
31.500000 1.238894e-04 4.820865e-05 1.400779e-04 43
32.500000 7.670906e-05 3.948803e-05 9.029400e-05 47
33.500000 5.003790e-05 1.954902e-05 5.369227e-05 37
34.500000 4.136047e-05 2.037125e-05 4.010465e-05 37
35.500000 4.924022e-05 3.410970e-05 6.026307e-05 41
36.500000 4.567949e-05 3.644955e-05 5.583401e-05 35
37.500000 4.376851e-05 3.468961e-05 5.690870e-05 40
38.500000 4.131609e-05 3.560968e-05 5.709298e-05 40
39.500000 4.750174e-05 3.475600e-05 5.891861e-05 48
