# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.500000     -7.450997e-07 -4.342362e-10 -3.961824e-06     -7.445970e-07 1.194389e-19 -3.961858e-06     -5.026833e-10 -4.342362e-10 3.393586e-11
1.500000     2.799487e-06 -3.966792e-10 -4.100857e-06     2.800318e-06 -6.786860e-18 -4.100859e-06     -8.310701e-10 -3.966792e-10 2.083726e-12
2.500000     2.180750e-06 -4.670482e-10 -9.954922e-08     2.180146e-06 1.218871e-17 -9.935760e-08     6.032997e-10 -4.670482e-10 -1.916172e-10
3.500000     5.192568e-07 -2.754382e-10 -4.883577e-07     5.189585e-07 -6.885679e-18 -4.887393e-07     2.983258e-10 -2.754382e-10 3.816168e-10
4.500000     -3.473700e-06 1.880491e-10 -5.278686e-07     -3.471998e-06 -1.016759e-17 -5.286311e-07     -1.701586e-09 1.880491e-10 7.624503e-10
5.500000     -3.145015e-07 4.077349e-10 -4.850739e-07     -3.138205e-07 -1.872026e-17 -4.853719e-07     -6.809703e-10 4.077349e-10 2.979971e-10
6.500000     -9.724989e-07 5.395325e-10 -8.426054e-07     -9.732486e-07 1.759185e-17 -8.427168e-07     7.496773e-10 5.395324e-10 1.114165e-10
7.500000     -3.062357e-06 -8.619265e-11 5.387705e-07     -3.062033e-06 -5.066346e-18 5.389167e-07     -3.238864e-10 -8.619264e-11 -1.462283e-10
8.500000     -8.944652e-07 -5.923773e-10 2.997937e-06     -8.921845e-07 -2.020374e-17 2.998341e-06     -2.280665e-09 -5.923772e-10 -4.038696e-10
9.500000     -2.679622e-06 -6.102661e-10 2.387674e-07     -2.679322e-06 -1.444139e-17 2.391021e-07     -3.004751e-10 -6.102661e-10 -3.347196e-10
10.500000     -6.826796e-06 -8.185906e-10 3.877514e-06     -6.828564e-06 -1.241766e-17 3.877688e-06     1.767704e-09 -8.185906e-10 -1.743487e-10
11.500000     3.905875e-06 -1.221902e-09 7.749849e-06     3.906961e-06 -4.560884e-18 7.750377e-06     -1.086797e-09 -1.221902e-09 -5.281038e-10
12.500000     1.732873e-06 -1.649007e-09 8.223514e-06     1.734086e-06 1.136228e-17 8.224093e-06     -1.213264e-09 -1.649007e-09 -5.793509e-10
13.500000     5.119274e-06 -1.045542e-09 1.158051e-05     5.116285e-06 5.960135e-18 1.158006e-05     2.988972e-09 -1.045542e-09 4.556093e-10
14.500000     5.260830e-06 1.663273e-09 4.663768e-06     5.259143e-06 2.572784e-17 4.662934e-06     1.686894e-09 1.663273e-09 8.335668e-10
15.500000     1.081982e-05 3.557278e-09 -2.307140e-08     1.082103e-05 4.166932e-17 -2.495734e-08     -1.207186e-09 3.557278e-09 1.885937e-09
16.500000     8.697949e-06 3.462651e-09 2.862909e-06     8.697389e-06 2.036850e-18 2.860151e-06     5.596875e-10 3.462651e-09 2.758103e-09
17.500000     -2.885677e-06 3.038755e-09 7.595289e-07     -2.888411e-06 -8.056783e-18 7.589930e-07     2.733480e-09 3.038755e-09 5.358367e-10
18.500000     -4.830459e-06 1.951280e-09 -1.642893e-06     -4.829760e-06 -1.588862e-17 -1.643025e-06     -6.986467e-10 1.951280e-09 1.317126e-10
19.500000     -9.322762e-06 7.272618e-10 -4.090281e-06     -9.321309e-06 -2.188900e-17 -4.090301e-06     -1.452686e-09 7.272618e-10 1.982563e-11
20.500000     -6.883039e-06 -1.721581e-10 -8.399966e-06     -6.884301e-06 -2.034565e-17 -8.399119e-06     1.261536e-09 -1.721580e-10 -8.463947e-10
21.500000     -5.102364e-06 8.355875e-10 -5.918839e-06     -5.102248e-06 8.451698e-18 -5.917764e-06     -1.165463e-10 8.355875e-10 -1.075034e-09
22.500000     9.091623e-07 8.849707e-10 -3.037451e-06     9.120478e-07 1.066156e-17 -3.035519e-06     -2.885516e-09 8.849707e-10 -1.931550e-09
23.500000     1.701448e-06 8.401307e-10 -2.578673e-06     1.701589e-06 -6.364245e-18 -2.575270e-06     -1.414248e-10 8.401307e-10 -3.402170e-09
24.500000     -6.206260e-07 1.500497e-09 -1.774690e-06     -6.217861e-07 -6.216497e-18 -1.771956e-06     1.160070e-09 1.500497e-09 -2.734300e-09
25.500000     -4.794565e-06 1.164177e-09 2.282377e-07     -4.792968e-06 2.081443e-17 2.283048e-07     -1.597418e-09 1.164177e-09 -6.704586e-11
26.500000     -6.884439e-07 4.697772e-10 3.607649e-06     -6.871105e-07 1.706419e-17 3.607141e-06     -1.333315e-09 4.697771e-10 5.082092e-10
27.500000     5.670052e-06 9.345060e-10 3.823628e-06     5.669491e-06 -2.451377e-17 3.823728e-06     5.605146e-10 9.345060e-10 -1.001792e-10
28.500000     3.660918e-06 5.656748e-10 3.297849e-06     3.660155e-06 -8.431970e-18 3.297256e-06     7.630504e-10 5.656748e-10 5.928404e-10
29.500000     2.743434e-06 9.215554e-11 4.388187e-06     2.743679e-06 1.774525e-18 4.388155e-06     -2.450653e-10 9.215554e-11 3.246390e-11
30.500000     1.291318e-06 -3.648492e-11 2.507872e-06     1.291749e-06 1.136852e-17 2.507859e-06     -4.304784e-10 -3.648493e-11 1.371599e-11
31.500000     -3.245601e-06 5.186383e-11 6.170697e-07     -3.246490e-06 -1.189112e-17 6.171415e-07     8.887064e-10 5.186385e-11 -7.179097e-11
32.500000     -1.086335e-06 4.821659e-10 -7.624959e-07     -1.086944e-06 4.424329e-18 -7.624753e-07     6.097453e-10 4.821659e-10 -2.061931e-11
33.500000     -1.492133e-06 6.802810e-10 -1.658960e-06     -1.491670e-06 1.950637e-17 -1.659223e-06     -4.630750e-10 6.802810e-10 2.632252e-10
34.500000     -2.588596e-06 1.073088e-10 1.230958e-07     -2.588666e-06 2.724417e-19 1.225484e-07     6.976237e-11 1.073088e-10 5.473882e-10
35.500000     1.294659e-06 -1.302596e-10 1.589850e-07     1.293012e-06 -1.815129e-17 1.584695e-07     1.647324e-09 -1.302596e-10 5.154472e-10
36.500000     4.996379e-07 1.045219e-10 -1.819464e-06     4.994348e-07 -6.824747e-18 -1.819792e-06     2.031875e-10 1.045219e-10 3.276032e-10
37.500000     8.781566e-07 4.590919e-10 -1.167038e-06     8.788318e-07 1.020794e-17 -1.167003e-06     -6.751776e-10 4.590918e-10 -3.513591e-11
38.500000     2.904234e-06 1.542386e-10 -2.253919e-06     2.903801e-06 5.988936e-18 -2.253786e-06     4.332983e-10 1.542386e-10 -1.330967e-10
39.500000     -9.091980e-08 -4.875527e-10 -4.185005e-06     -9.217794e-08 2.089895e-17 -4.185088e-06     1.258143e-09 -4.875527e-10 8.327360e-11
