# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.500000     -1.663073e-07 9.250065e-07 -6.210112e-06     -7.445970e-07 1.194389e-19 -3.961858e-06     5.782898e-07 9.250065e-07 -2.248255e-06
1.500000     1.996955e-06 -3.582092e-07 -5.936819e-06     2.800318e-06 -6.786860e-18 -4.100859e-06     -8.033633e-07 -3.582092e-07 -1.835960e-06
2.500000     1.988348e-06 -1.736520e-07 -2.242212e-06     2.180146e-06 1.218871e-17 -9.935760e-08     -1.917985e-07 -1.736520e-07 -2.142854e-06
3.500000     1.288403e-06 1.214877e-06 -1.018400e-06     5.189585e-07 -6.885679e-18 -4.887393e-07     7.694445e-07 1.214877e-06 -5.296610e-07
4.500000     -3.045400e-06 1.605171e-06 8.388326e-07     -3.471998e-06 -1.016759e-17 -5.286311e-07     4.265978e-07 1.605171e-06 1.367464e-06
5.500000     -9.475282e-07 2.933797e-06 1.419747e-06     -3.138205e-07 -1.872026e-17 -4.853719e-07     -6.337077e-07 2.933797e-06 1.905119e-06
6.500000     -5.758230e-07 2.286947e-06 -3.502212e-07     -9.732486e-07 1.759185e-17 -8.427168e-07     3.974256e-07 2.286947e-06 4.924955e-07
7.500000     -3.473460e-06 6.464610e-07 -1.557503e-06     -3.062033e-06 -5.066346e-18 5.389167e-07     -4.114265e-07 6.464610e-07 -2.096419e-06
8.500000     -3.264681e-07 2.052134e-06 1.778614e-06     -8.921845e-07 -2.020374e-17 2.998341e-06     5.657165e-07 2.052134e-06 -1.219728e-06
9.500000     -1.761178e-06 3.478712e-06 8.696548e-07     -2.679322e-06 -1.444139e-17 2.391021e-07     9.181437e-07 3.478712e-06 6.305527e-07
10.500000     -2.112076e-06 4.524078e-07 4.501727e-06     -6.828564e-06 -1.241766e-17 3.877688e-06     4.716487e-06 4.524078e-07 6.240384e-07
11.500000     1.988925e-06 -2.016124e-06 6.471242e-06     3.906961e-06 -4.560884e-18 7.750377e-06     -1.918036e-06 -2.016124e-06 -1.279135e-06
12.500000     -3.345182e-07 7.554294e-06 2.715121e-06     1.734086e-06 1.136228e-17 8.224093e-06     -2.068604e-06 7.554294e-06 -5.508972e-06
