# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.500000 1.470319e-04 2.502313e-08 1.470309e-04 411
1.500000 1.528973e-04 2.671238e-08 1.528977e-04 452
2.500000 1.546106e-04 2.579386e-08 1.546102e-04 420
3.500000 1.452371e-04 2.535774e-08 1.452359e-04 431
4.500000 1.507040e-04 2.496078e-08 1.507035e-04 430
5.500000 1.547145e-04 2.538164e-08 1.547141e-04 404
6.500000 1.531392e-04 2.410827e-08 1.531392e-04 414
7.500000 2.235090e-04 2.394200e-08 2.235095e-04 417
8.500000 3.586311e-04 2.241945e-08 3.586322e-04 423
9.500000 4.388203e-04 2.381469e-08 4.388190e-04 421
10.500000 4.423229e-04 2.430708e-08 4.423230e-04 446
11.500000 3.638048e-04 2.353479e-08 3.638063e-04 435
12.500000 2.143311e-04 2.336445e-08 2.143303e-04 433
13.500000 1.519473e-04 2.366845e-08 1.519470e-04 407
14.500000 1.472546e-04 2.352603e-08 1.472534e-04 432
15.500000 1.536954e-04 2.111192e-08 1.536946e-04 401
16.500000 1.448529e-04 2.076070e-08 1.448526e-04 444
17.500000 1.489252e-04 2.313366e-08 1.489240e-04 407
18.500000 1.538281e-04 2.234871e-08 1.538273e-04 404
19.500000 1.527811e-04 2.258276e-08 1.527809e-04 404
20.500000 1.549660e-04 2.152838e-08 1.549653e-04 433
21.500000 1.434983e-04 2.214441e-08 1.434980e-04 396
22.500000 1.453384e-04 2.495084e-08 1.453392e-04 411
23.500000 1.532995e-04 2.381200e-08 1.532983e-04 436
24.500000 1.475279e-04 2.289211e-08 1.475277e-04 419
25.500000 1.483750e-04 2.339309e-08 1.483740e-04 437
26.500000 1.530866e-04 2.407851e-08 1.530859e-04 452
27.500000 2.284751e-04 2.403305e-08 2.284758e-04 430
28.500000 3.758228e-04 2.406384e-08 3.758238e-04 377
29.500000 4.346554e-04 2.528389e-08 4.346545e-04 418
30.500000 4.223286e-04 2.461699e-08 4.223271e-04 392
31.500000 3.456402e-04 2.622841e-08 3.456408e-04 406
32.500000 2.145279e-04 2.397591e-08 2.145268e-04 408
33.500000 1.553339e-04 2.353946e-08 1.553327e-04 411
34.500000 1.550061e-04 2.550962e-08 1.550060e-04 405
35.500000 1.495141e-04 2.482750e-08 1.495129e-04 397
36.500000 1.565065e-04 2.520035e-08 1.565057e-04 445
37.500000 1.460266e-04 2.365342e-08 1.460256e-04 429
38.500000 1.506910e-04 2.573012e-08 1.506890e-04 406
39.500000 1.515986e-04 2.607688e-08 1.515991e-04 456
