# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.500000 1.540882e-04 2.085192e-04 2.602191e-04 421
1.500000 1.503625e-04 1.927511e-04 2.443149e-04 418
2.500000 1.431881e-04 2.120798e-04 2.536740e-04 410
3.500000 1.449971e-04 2.086089e-04 2.545570e-04 424
4.500000 1.472309e-04 2.010600e-04 2.508887e-04 394
5.500000 1.467787e-04 2.055389e-04 2.498953e-04 392
6.500000 1.544515e-04 1.847561e-04 2.371466e-04 436
7.500000 2.105544e-04 2.049512e-04 2.975861e-04 401
8.500000 3.541931e-04 2.074330e-04 4.077349e-04 423
9.500000 4.316793e-04 2.189430e-04 5.015577e-04 441
10.500000 4.493728e-04 2.232048e-04 4.957600e-04 385
11.500000 3.654180e-04 1.899170e-04 3.957296e-04 423
12.500000 2.197949e-04 1.845706e-04 2.853544e-04 399
13.500000 1.482144e-04 2.140938e-04 2.648839e-04 453
14.500000 1.468758e-04 1.979649e-04 2.487795e-04 397
15.500000 1.587914e-04 2.018680e-04 2.634863e-04 397
16.500000 1.461680e-04 2.001889e-04 2.487881e-04 448
17.500000 1.471356e-04 2.184986e-04 2.683812e-04 480
18.500000 1.547482e-04 1.966822e-04 2.557134e-04 393
19.500000 1.487052e-04 2.191399e-04 2.665738e-04 406
20.500000 1.479889e-04 2.056123e-04 2.499429e-04 423
21.500000 1.421169e-04 1.986804e-04 2.468484e-04 406
22.500000 1.484771e-04 2.066819e-04 2.548184e-04 391
23.500000 1.561630e-04 2.080765e-04 2.617482e-04 420
24.500000 1.542634e-04 1.976841e-04 2.441081e-04 445
25.500000 1.560690e-04 2.109808e-04 2.610467e-04 444
26.500000 1.604962e-04 2.041755e-04 2.636924e-04 419
27.500000 2.338498e-04 1.916039e-04 3.045759e-04 407
28.500000 3.765519e-04 2.062506e-04 4.238307e-04 410
29.500000 4.261346e-04 2.163566e-04 4.793400e-04 427
30.500000 4.287417e-04 2.181517e-04 4.871004e-04 413
31.500000 3.502646e-04 1.971889e-04 3.798327e-04 428
32.500000 2.159421e-04 2.018293e-04 3.112638e-04 416
33.500000 1.527194e-04 1.955139e-04 2.439139e-04 394
34.500000 1.510361e-04 2.097409e-04 2.573124e-04 418
35.500000 1.482343e-04 2.012122e-04 2.441571e-04 454
36.500000 1.512956e-04 2.041949e-04 2.549272e-04 432
37.500000 1.493390e-04 2.083250e-04 2.521851e-04 441
38.500000 1.435764e-04 1.976439e-04 2.428361e-04 445
39.500000 1.480472e-04 1.999479e-04 2.475514e-04 426
