# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.500000 1.540882e-04 1.069376e-04 1.905417e-04 421
1.500000 1.503625e-04 1.096107e-04 1.877778e-04 418
2.500000 1.431881e-04 1.183489e-04 1.862518e-04 410
3.500000 1.449971e-04 1.148449e-04 1.845401e-04 424
4.500000 1.472309e-04 1.161630e-04 1.861236e-04 394
5.500000 1.467787e-04 1.073329e-04 1.800867e-04 392
6.500000 1.544515e-04 1.090807e-04 1.869593e-04 436
7.500000 2.105544e-04 1.136484e-04 2.479770e-04 401
8.500000 3.541931e-04 1.114108e-04 3.566670e-04 423
9.500000 4.316793e-04 1.088931e-04 4.445071e-04 441
10.500000 4.493728e-04 1.128516e-04 4.709713e-04 385
11.500000 3.654180e-04 9.992040e-05 3.680611e-04 423
12.500000 2.197949e-04 1.073666e-04 2.484321e-04 399
13.500000 1.482144e-04 1.168187e-04 1.890424e-04 453
14.500000 1.468758e-04 1.044211e-04 1.791432e-04 397
15.500000 1.587914e-04 1.064332e-04 1.974296e-04 397
16.500000 1.461680e-04 1.148732e-04 1.787677e-04 448
17.500000 1.471356e-04 1.096812e-04 1.826904e-04 480
18.500000 1.547482e-04 1.090254e-04 1.868414e-04 393
19.500000 1.487052e-04 1.151022e-04 1.909747e-04 406
20.500000 1.479889e-04 1.175845e-04 1.853834e-04 423
21.500000 1.421169e-04 1.071961e-04 1.771195e-04 406
22.500000 1.484771e-04 1.106882e-04 1.849152e-04 391
23.500000 1.561630e-04 1.080042e-04 1.942830e-04 420
24.500000 1.542634e-04 1.094389e-04 1.859244e-04 445
25.500000 1.560690e-04 1.146065e-04 1.935938e-04 444
26.500000 1.604962e-04 1.084676e-04 1.944284e-04 419
27.500000 2.338498e-04 1.131806e-04 2.601334e-04 407
28.500000 3.765519e-04 1.099484e-04 3.835832e-04 410
29.500000 4.261346e-04 1.145572e-04 4.509470e-04 427
30.500000 4.287417e-04 1.049290e-04 4.488015e-04 413
31.500000 3.502646e-04 1.117220e-04 3.534125e-04 428
32.500000 2.159421e-04 1.061665e-04 2.523057e-04 416
33.500000 1.527194e-04 1.106518e-04 1.878291e-04 394
34.500000 1.510361e-04 1.083903e-04 1.849025e-04 418
35.500000 1.482343e-04 1.126748e-04 1.879212e-04 454
36.500000 1.512956e-04 1.144159e-04 1.856351e-04 432
37.500000 1.493390e-04 1.156882e-04 1.896308e-04 441
38.500000 1.435764e-04 1.060053e-04 1.775947e-04 445
39.500000 1.480472e-04 1.106091e-04 1.889371e-04 426
