# 1          2        3       4                5        6       7
# x  meanFx(r)  meanFxR meanFxI  meanFyR meanFyI  meanFzR meanFzI
0.487805 -1.157041e-05     -1.157041e-05 1.170938e-17  -7.862606e-06 -5.204170e-18  -1.881681e-06 -6.640738e-18
1.463415 3.150329e-07     3.150329e-07 3.313024e-17  3.520009e-06 -3.235079e-18  -9.206121e-07 -8.137640e-18
2.439024 3.265882e-06     3.265882e-06 -1.377970e-17  1.190089e-06 1.175350e-17  7.297278e-07 6.926853e-18
3.414634 4.175233e-06     4.175233e-06 -3.322237e-17  -7.609769e-08 1.739405e-17  -8.161939e-06 8.282193e-18
4.390244 6.660635e-06     6.660635e-06 -9.625235e-18  -3.091210e-08 -8.272598e-18  -1.208152e-05 2.081308e-17
5.365854 2.840315e-06     2.840315e-06 1.313899e-17  2.272938e-07 1.381004e-17  -2.363766e-06 3.932441e-17
6.341463 -3.147016e-06     -3.147016e-06 -1.077120e-17  -2.445709e-06 1.575369e-17  -3.613195e-06 2.781459e-17
7.317073 -1.308028e-04     -1.308028e-04 -8.920329e-18  -6.023483e-06 1.768084e-17  -3.582825e-06 -1.080634e-17
8.292683 -3.013084e-04     -3.013084e-04 -8.219550e-18  -1.714763e-06 -2.834864e-18  -7.317804e-06 -1.068950e-17
9.268293 -4.053155e-04     -4.053155e-04 2.814179e-17  -3.994620e-06 5.832763e-18  -4.856141e-06 -7.529116e-18
10.243902 -4.295698e-04     -4.295698e-04 -4.693483e-18  -5.545325e-06 -1.879346e-17  -5.009721e-06 3.599199e-18
11.219512 -3.632661e-04     -3.632661e-04 1.774552e-17  -2.618231e-06 -2.596743e-18  -3.735406e-06 -1.325040e-17
12.195122 -2.163965e-04     -2.163965e-04 1.927884e-17  -3.369782e-06 6.669348e-18  -1.634992e-06 7.357192e-18
13.170732 -4.847183e-05     -4.847183e-05 -1.666580e-17  -6.271782e-07 2.671368e-17  -1.514251e-06 1.896654e-17
14.146341 7.568169e-06     7.568169e-06 2.500021e-18  3.297016e-06 2.482116e-17  -4.129627e-06 1.669941e-17
15.121951 9.318341e-06     9.318341e-06 1.112452e-17  1.642932e-06 2.348673e-17  -9.205291e-07 6.285615e-18
16.097561 1.416644e-06     1.416644e-06 -6.967236e-18  -5.340591e-06 1.729441e-17  3.890103e-06 3.115133e-18
17.073171 6.143090e-07     6.143090e-07 1.438502e-17  -9.725400e-07 -1.884941e-17  -6.837360e-06 -6.151045e-18
18.048780 4.166606e-07     4.166606e-07 -3.098962e-17  -4.891274e-07 -2.452423e-17  -5.469991e-06 -1.270766e-17
19.024390 -3.696037e-06     -3.696037e-06 -3.726421e-19  4.232382e-06 -1.138419e-17  4.052255e-06 -3.394029e-18
20.000000 -6.024059e-06     -6.024059e-06 3.003695e-17  9.396973e-06 2.373770e-18  4.092719e-06 1.283737e-17
20.975610 -4.317844e-06     -4.317844e-06 -1.437790e-17  6.070895e-06 1.844991e-17  1.674252e-06 1.782605e-17
21.951220 -7.200922e-06     -7.200922e-06 -7.216861e-18  4.965280e-06 2.210050e-17  4.274915e-06 2.316818e-17
22.926829 -2.467398e-06     -2.467398e-06 -1.511908e-18  -3.347653e-07 6.149225e-18  2.393505e-06 1.793964e-17
23.902439 4.241936e-06     4.241936e-06 3.914706e-18  -7.359441e-06 -1.765828e-17  8.873470e-06 -5.598697e-18
24.878049 5.113373e-06     5.113373e-06 -1.592397e-17  -3.332119e-06 7.351808e-18  1.048620e-05 -2.945454e-17
25.853659 5.400797e-06     5.400797e-06 -3.668510e-17  8.262491e-06 3.098138e-17  4.509082e-06 -7.147192e-18
26.829268 5.341963e-05     5.341963e-05 1.450178e-17  3.605526e-06 6.912628e-18  -7.874166e-06 2.463750e-17
27.804878 2.182398e-04     2.182398e-04 2.886309e-17  1.004217e-05 -1.086249e-17  -9.022436e-06 1.627717e-17
28.780488 3.668248e-04     3.668248e-04 -2.449917e-17  3.149360e-06 -1.139889e-17  -8.074224e-06 1.915097e-17
29.756098 4.169283e-04     4.169283e-04 -3.277792e-18  -4.801380e-07 -3.410538e-17  -4.747926e-06 1.927988e-17
30.731707 4.021937e-04     4.021937e-04 2.490610e-17  4.265352e-06 -2.375501e-17  1.209863e-07 7.415467e-18
31.707317 2.920394e-04     2.920394e-04 3.261069e-17  -3.810665e-06 -3.147469e-17  2.132116e-06 -7.341678e-18
32.682927 1.205884e-04     1.205884e-04 -1.818928e-17  -4.801867e-06 -9.728250e-18  2.817251e-06 -4.265607e-18
33.658537 6.893064e-06     6.893064e-06 1.347242e-18  3.042034e-06 7.021520e-19  8.508485e-06 1.187597e-18
34.634146 8.390074e-06     8.390074e-06 1.059360e-18  3.792126e-06 -4.806450e-20  1.685014e-06 2.086861e-18
35.609756 1.785054e-06     1.785054e-06 9.545587e-18  5.744502e-06 7.131796e-18  -2.321873e-06 3.769430e-18
36.585366 -1.117587e-06     -1.117587e-06 -1.848424e-17  6.137604e-06 6.616556e-18  5.097208e-06 5.851986e-18
37.560976 4.663912e-06     4.663912e-06 2.522184e-17  7.535607e-06 -1.760276e-17  5.050807e-06 -1.300754e-19
38.536585 -1.287257e-06     -1.287257e-06 -1.594840e-17  1.433855e-06 1.945939e-17  4.671669e-06 5.434001e-18
39.512195 -7.354069e-06     -7.354069e-06 -2.281988e-17  -5.427736e-06 1.401290e-17  7.369527e-06 5.012391e-18
