# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.500000 1.517507e-04    1.517507e-04 2.416990e-08 -3.160631e-15
1.500000 1.504849e-04    1.504849e-04 2.414443e-08 -1.465746e-15
2.500000 1.516755e-04    1.516755e-04 2.415273e-08 2.772053e-16
3.500000 1.520807e-04    1.520806e-04 2.426162e-08 7.425098e-15
4.500000 1.523501e-04    1.523501e-04 2.435590e-08 -9.447148e-15
5.500000 1.514654e-04    1.514654e-04 2.438836e-08 -6.928033e-16
6.500000 1.592870e-04    1.592871e-04 2.438393e-08 -4.753213e-14
7.500000 2.262198e-04    2.262194e-04 2.440274e-08 1.496913e-13
8.500000 3.577383e-04    3.577373e-04 2.435559e-08 7.338170e-13
9.500000 4.380336e-04    4.380348e-04 2.441490e-08 -1.069672e-12
10.500000 4.394759e-04    4.394763e-04 2.444390e-08 -4.152951e-13
11.500000 3.566963e-04    3.566953e-04 2.439951e-08 6.974301e-13
12.500000 2.314178e-04    2.314176e-04 2.435477e-08 9.538323e-14
13.500000 1.563329e-04    1.563330e-04 2.433796e-08 -4.571675e-14
14.500000 1.515759e-04    1.515759e-04 2.427855e-08 -4.433939e-15
15.500000 1.513143e-04    1.513143e-04 2.428633e-08 -3.040570e-15
16.500000 1.513176e-04    1.513176e-04 2.435280e-08 -2.425705e-15
17.500000 1.510266e-04    1.510266e-04 2.427026e-08 -2.018313e-15
18.500000 1.509609e-04    1.509608e-04 2.422174e-08 4.652196e-15
19.500000 1.518020e-04    1.518020e-04 2.409383e-08 9.898274e-15
20.500000 1.523720e-04    1.523719e-04 2.425986e-08 3.301041e-14
21.500000 1.522918e-04    1.522917e-04 2.420867e-08 1.740396e-14
22.500000 1.521954e-04    1.521954e-04 2.428038e-08 1.228921e-15
23.500000 1.520300e-04    1.520300e-04 2.430236e-08 2.256208e-15
24.500000 1.515257e-04    1.515257e-04 2.430979e-08 1.775942e-14
25.500000 1.512065e-04    1.512065e-04 2.442559e-08 1.528441e-14
26.500000 1.575679e-04    1.575680e-04 2.437588e-08 -3.287633e-14
27.500000 2.331734e-04    2.331743e-04 2.442069e-08 -4.285493e-13
28.500000 3.593859e-04    3.593844e-04 2.439564e-08 1.088914e-12
29.500000 4.311630e-04    4.311627e-04 2.435733e-08 2.950839e-13
30.500000 4.330542e-04    4.330555e-04 2.442926e-08 -1.170326e-12
31.500000 3.503165e-04    3.503161e-04 2.423049e-08 2.733976e-13
32.500000 2.194876e-04    2.194868e-04 2.417273e-08 3.538492e-13
33.500000 1.590449e-04    1.590450e-04 2.426198e-08 -2.040442e-14
34.500000 1.527737e-04    1.527736e-04 2.447308e-08 7.880702e-15
35.500000 1.515019e-04    1.515018e-04 2.428242e-08 1.693385e-14
36.500000 1.515330e-04    1.515330e-04 2.410187e-08 5.515423e-16
37.500000 1.510214e-04    1.510215e-04 2.433692e-08 -1.795998e-14
38.500000 1.519581e-04    1.519581e-04 2.422037e-08 -2.027844e-15
39.500000 1.518815e-04    1.518815e-04 2.428729e-08 -4.187016e-15
