# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.500000 1.892331e-04    1.517507e-04 1.131144e-04 -1.398633e-11
1.500000 1.881605e-04    1.504849e-04 1.126955e-04 5.838929e-11
2.500000 1.871394e-04    1.516755e-04 1.096386e-04 -4.933939e-12
3.500000 1.885144e-04    1.520806e-04 1.113176e-04 1.753575e-11
4.500000 1.918169e-04    1.523501e-04 1.164019e-04 3.377222e-11
5.500000 1.902781e-04    1.514654e-04 1.151290e-04 9.292310e-12
6.500000 1.961472e-04    1.592871e-04 1.136650e-04 1.815883e-10
7.500000 2.569957e-04    2.262194e-04 1.132976e-04 2.035201e-09
8.500000 3.658397e-04    3.577373e-04 1.118596e-04 -6.649807e-09
9.500000 4.599244e-04    4.380348e-04 1.160598e-04 6.186065e-09
10.500000 4.528309e-04    4.394763e-04 1.131510e-04 -8.867799e-10
11.500000 3.734627e-04    3.566953e-04 1.159523e-04 -1.202131e-09
12.500000 2.588576e-04    2.314176e-04 1.152998e-04 1.591315e-10
13.500000 1.931530e-04    1.563330e-04 1.141083e-04 -1.526532e-10
14.500000 1.887067e-04    1.515759e-04 1.123831e-04 5.032898e-12
15.500000 1.879629e-04    1.513143e-04 1.115159e-04 -1.748152e-12
16.500000 1.887528e-04    1.513176e-04 1.129070e-04 -1.736372e-11
17.500000 1.889116e-04    1.510266e-04 1.135403e-04 -1.286719e-11
18.500000 1.865423e-04    1.509608e-04 1.096771e-04 -2.020246e-11
19.500000 1.876554e-04    1.518020e-04 1.099871e-04 7.354497e-11
20.500000 1.878540e-04    1.523719e-04 1.097529e-04 2.625035e-11
21.500000 1.899965e-04    1.522917e-04 1.136346e-04 -6.921532e-12
22.500000 1.880471e-04    1.521954e-04 1.105425e-04 -2.134972e-11
23.500000 1.883547e-04    1.520300e-04 1.112074e-04 -2.727891e-12
24.500000 1.895588e-04    1.515257e-04 1.136542e-04 5.525273e-11
25.500000 1.906605e-04    1.512065e-04 1.162253e-04 -2.028596e-11
26.500000 1.933237e-04    1.575680e-04 1.125106e-04 -1.122244e-10
27.500000 2.571082e-04    2.331743e-04 1.121521e-04 -8.437171e-10
28.500000 3.700565e-04    3.593844e-04 1.117036e-04 -4.692974e-09
29.500000 4.553120e-04    4.311627e-04 1.142296e-04 8.359366e-09
30.500000 4.559354e-04    4.330555e-04 1.157781e-04 6.935463e-09
31.500000 3.624758e-04    3.503161e-04 1.141889e-04 -4.371792e-09
32.500000 2.447167e-04    2.194868e-04 1.114871e-04 -7.175496e-10
33.500000 1.948687e-04    1.590450e-04 1.121174e-04 1.081956e-10
34.500000 1.902335e-04    1.527736e-04 1.130515e-04 6.836638e-11
35.500000 1.909425e-04    1.515018e-04 1.165329e-04 -7.367632e-11
36.500000 1.888495e-04    1.515330e-04 1.127211e-04 -4.143793e-12
37.500000 1.887863e-04    1.510215e-04 1.132563e-04 5.802055e-12
38.500000 1.884028e-04    1.519581e-04 1.113260e-04 1.087434e-11
39.500000 1.883401e-04    1.518815e-04 1.117028e-04 -7.353585e-11
