# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.500000     -1.114243e-05 6.690638e-06 -7.227888e-06     -1.142184e-05 1.197714e-17 -7.720325e-06     2.794115e-07 6.690638e-06 4.924365e-07
1.500000     1.973512e-06 -2.184306e-06 1.174571e-05     4.256887e-07 3.137113e-17 3.432638e-06     1.547824e-06 -2.184306e-06 8.313068e-06
2.500000     -9.514758e-07 -9.990671e-06 1.167393e-05     3.322717e-06 -1.499487e-17 1.110952e-06     -4.274193e-06 -9.990671e-06 1.056298e-05
3.500000     6.454303e-06 -3.887280e-06 3.921465e-06     4.392706e-06 -3.115762e-17 -7.214395e-08     2.061597e-06 -3.887280e-06 3.993609e-06
4.500000     8.941278e-06 -9.343580e-07 1.159667e-06     6.230849e-06 -7.064263e-18 -1.863969e-09     2.710429e-06 -9.343580e-07 1.161531e-06
5.500000     4.150270e-06 -3.082354e-07 -2.588426e-06     2.017058e-06 9.851345e-18 -1.402434e-07     2.133212e-06 -3.082354e-07 -2.448182e-06
6.500000     -2.619570e-05 1.023719e-06 -1.483223e-05     -2.389113e-05 -1.047043e-17 -3.027099e-06     -2.304572e-06 1.023719e-06 -1.180513e-05
7.500000     -1.688462e-04 -6.288436e-06 -1.077451e-05     -1.627726e-04 -8.788933e-18 -5.215597e-06     -6.073547e-06 -6.288436e-06 -5.558916e-06
8.500000     -3.131692e-04 -4.471129e-06 3.690257e-06     -3.234099e-04 -4.927699e-19 -2.199232e-06     1.024072e-05 -4.471129e-06 5.889489e-06
9.500000     -4.186918e-04 3.509478e-06 4.270292e-06     -4.110759e-04 2.034342e-17 -4.362912e-06     -7.615865e-06 3.509478e-06 8.633204e-06
10.500000     -4.111475e-04 2.719700e-06 2.414611e-07     -4.121651e-04 1.196764e-18 -4.776962e-06     1.017595e-06 2.719700e-06 5.018423e-06
11.500000     -3.192221e-04 -8.095318e-07 3.203489e-06     -3.210411e-04 1.818635e-17 -2.834302e-06     1.818935e-06 -8.095318e-07 6.037791e-06
12.500000     -1.644020e-04 -4.005681e-06 -2.735953e-06     -1.639201e-04 8.046145e-18 -2.512719e-06     -4.819717e-07 -4.005681e-06 -2.232340e-07
13.500000     -2.696207e-05 -1.989883e-06 1.292076e-06     -2.955833e-05 -1.019734e-17 6.972372e-07     2.596267e-06 -1.989883e-06 5.948387e-07
14.500000     6.784590e-06 1.981821e-06 7.942397e-06     8.202607e-06 5.626405e-18 2.697410e-06     -1.418017e-06 1.981821e-06 5.244988e-06
15.500000     6.599474e-06 7.816046e-07 1.777612e-06     6.256432e-06 4.113962e-18 -1.063184e-06     3.430411e-07 7.816046e-07 2.840796e-06
16.500000     4.261371e-06 5.007166e-07 -1.111264e-07     1.085681e-06 1.840567e-18 -3.538771e-06     3.175690e-06 5.007166e-07 3.427644e-06
17.500000     -9.554522e-06 4.859192e-06 6.997651e-07     5.278378e-07 -5.466388e-18 -7.610470e-07     -1.008236e-05 4.859192e-06 1.460812e-06
18.500000     7.938569e-06 3.368872e-06 3.994757e-06     -1.485464e-06 -1.682926e-17 1.694573e-06     9.424033e-06 3.368872e-06 2.300185e-06
19.500000     -3.856780e-06 -1.840120e-06 1.289499e-05     -4.830948e-06 1.445204e-17 6.750121e-06     9.741681e-07 -1.840120e-06 6.144874e-06
20.500000     -5.107042e-06 3.276221e-07 9.427126e-06     -5.149624e-06 7.274345e-18 7.692358e-06     4.258155e-08 3.276221e-07 1.734767e-06
21.500000     -5.658880e-06 4.245044e-06 5.068218e-06     -5.867497e-06 -1.052884e-17 5.476627e-06     2.086170e-07 4.245044e-06 -4.084094e-07
22.500000     -1.925148e-06 4.852492e-06 2.581036e-06     -4.538315e-06 -4.007825e-18 1.984005e-06     2.613167e-06 4.852492e-06 5.970315e-07
23.500000     -3.609863e-06 7.564336e-06 -5.836080e-06     1.474337e-06 1.676228e-18 -4.461763e-06     -5.084200e-06 7.564336e-06 -1.374317e-06
24.500000     1.024669e-05 3.078850e-06 -5.198992e-06     4.775691e-06 -8.236481e-18 -4.892707e-06     5.470998e-06 3.078850e-06 -3.062856e-07
25.500000     5.275041e-06 1.205925e-06 1.588961e-06     5.296606e-06 -2.915918e-17 4.059440e-06     -2.156426e-08 1.205925e-06 -2.470479e-06
