# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.500000 1.499029e-04 1.499036e-04 2.379801e-08 2102
1.500000 1.509599e-04 1.509602e-04 2.395313e-08 2075
2.500000 1.498783e-04 1.498789e-04 2.471851e-08 2103
3.500000 1.476248e-04 1.476254e-04 2.463889e-08 2139
4.500000 1.525470e-04 1.525478e-04 2.464294e-08 2117
5.500000 1.507866e-04 1.507872e-04 2.401174e-08 2041
6.500000 1.561588e-04 1.561592e-04 2.293166e-08 2160
7.500000 2.266722e-04 2.266729e-04 2.431649e-08 2056
8.500000 3.605087e-04 3.605085e-04 2.344666e-08 2169
9.500000 4.365877e-04 4.365883e-04 2.300891e-08 2070
10.500000 4.439723e-04 4.439724e-04 2.348751e-08 2073
11.500000 3.662507e-04 3.662511e-04 2.371947e-08 2092
12.500000 2.200289e-04 2.200294e-04 2.407472e-08 2118
13.500000 1.537945e-04 1.537953e-04 2.469704e-08 2196
14.500000 1.501364e-04 1.501372e-04 2.423793e-08 2100
15.500000 1.549774e-04 1.549781e-04 2.420972e-08 2056
16.500000 1.498882e-04 1.498886e-04 2.351506e-08 2176
17.500000 1.502430e-04 1.502436e-04 2.335882e-08 2061
18.500000 1.513562e-04 1.513573e-04 2.443362e-08 2065
19.500000 1.510874e-04 1.510880e-04 2.361997e-08 2022
20.500000 1.509122e-04 1.509126e-04 2.333199e-08 2072
21.500000 1.454177e-04 1.454185e-04 2.377343e-08 2081
22.500000 1.470330e-04 1.470336e-04 2.447072e-08 2075
23.500000 1.540208e-04 1.540216e-04 2.401934e-08 2150
24.500000 1.486135e-04 1.486139e-04 2.392005e-08 2135
25.500000 1.528636e-04 1.528643e-04 2.401766e-08 2109
26.500000 1.550734e-04 1.550739e-04 2.317649e-08 2141
27.500000 2.258517e-04 2.258514e-04 2.313806e-08 2066
28.500000 3.642347e-04 3.642342e-04 2.395319e-08 2032
29.500000 4.339166e-04 4.339178e-04 2.383600e-08 2110
30.500000 4.363920e-04 4.363921e-04 2.400289e-08 2060
31.500000 3.584141e-04 3.584141e-04 2.464549e-08 2090
32.500000 2.196292e-04 2.196298e-04 2.382479e-08 2111
33.500000 1.560699e-04 1.560710e-04 2.357684e-08 2096
34.500000 1.543030e-04 1.543040e-04 2.418520e-08 2062
35.500000 1.503878e-04 1.503889e-04 2.470547e-08 2102
36.500000 1.533411e-04 1.533416e-04 2.437208e-08 2145
37.500000 1.501978e-04 1.501984e-04 2.316815e-08 2089
38.500000 1.493466e-04 1.493478e-04 2.418665e-08 2133
39.500000 1.500905e-04 1.500909e-04 2.478213e-08 2150
