# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.500000 2.579232e-04 1.499036e-04 2.072329e-04 2102
1.500000 2.558363e-04 1.509602e-04 2.033329e-04 2075
2.500000 2.550323e-04 1.498789e-04 2.065502e-04 2103
3.500000 2.549757e-04 1.476254e-04 2.086588e-04 2139
4.500000 2.488660e-04 1.525478e-04 1.994530e-04 2117
5.500000 2.618950e-04 1.507872e-04 2.106395e-04 2041
6.500000 2.530823e-04 1.561592e-04 1.992788e-04 2160
7.500000 3.075165e-04 2.266729e-04 2.050027e-04 2056
8.500000 4.080390e-04 3.605085e-04 2.065559e-04 2169
9.500000 4.983886e-04 4.365883e-04 2.170988e-04 2070
10.500000 4.983790e-04 4.439724e-04 2.193429e-04 2073
11.500000 4.140871e-04 3.662511e-04 2.093504e-04 2092
12.500000 3.000312e-04 2.200294e-04 1.993985e-04 2118
13.500000 2.614176e-04 1.537953e-04 2.088714e-04 2196
14.500000 2.547520e-04 1.501372e-04 2.078697e-04 2100
15.500000 2.570988e-04 1.549781e-04 2.091408e-04 2056
16.500000 2.597283e-04 1.498886e-04 2.086018e-04 2176
17.500000 2.569179e-04 1.502436e-04 2.099366e-04 2061
18.500000 2.544705e-04 1.513573e-04 2.036693e-04 2065
19.500000 2.570479e-04 1.510880e-04 2.047099e-04 2022
20.500000 2.543062e-04 1.509126e-04 2.030433e-04 2072
21.500000 2.510733e-04 1.454185e-04 2.047966e-04 2081
22.500000 2.581375e-04 1.470336e-04 2.116147e-04 2075
23.500000 2.611223e-04 1.540216e-04 2.125470e-04 2150
24.500000 2.536281e-04 1.486139e-04 2.078329e-04 2135
25.500000 2.521428e-04 1.528643e-04 2.031233e-04 2109
26.500000 2.518648e-04 1.550739e-04 1.992167e-04 2141
27.500000 3.002023e-04 2.258514e-04 1.960235e-04 2066
28.500000 4.078927e-04 3.642342e-04 2.076769e-04 2032
29.500000 4.827505e-04 4.339178e-04 2.115477e-04 2110
30.500000 4.988388e-04 4.363921e-04 2.188438e-04 2060
31.500000 3.936621e-04 3.584141e-04 2.056131e-04 2090
32.500000 3.106073e-04 2.196298e-04 2.064022e-04 2111
33.500000 2.568070e-04 1.560710e-04 2.043743e-04 2096
34.500000 2.599413e-04 1.543040e-04 2.101295e-04 2062
35.500000 2.511862e-04 1.503889e-04 2.016563e-04 2102
36.500000 2.575991e-04 1.533416e-04 2.073710e-04 2145
37.500000 2.527671e-04 1.501984e-04 2.039382e-04 2089
38.500000 2.484994e-04 1.493478e-04 1.988408e-04 2133
39.500000 2.568553e-04 1.500909e-04 2.099676e-04 2150
