# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
0.061556 3.089299e-08   1.496252e-17 4.007364e-37   5.287767e-14 -7.014492e-22   -5.193826e-14 -1.594325e-25
0.184667 3.370950e-08   2.050441e-17 3.805612e-37   6.406105e-14 -3.176374e-22   -6.294523e-14 1.002545e-25
0.307779 2.928427e-08   1.611953e-17 8.712677e-37   5.286500e-14 -3.970467e-21   -5.202355e-14 3.252702e-24
0.430890 2.188994e-08   7.403240e-18 4.163739e-37   3.206870e-14 -4.129286e-21   -3.159694e-14 -8.911514e-26
0.554001 1.607571e-08   2.155621e-18 6.388332e-37   1.702097e-14 -3.070494e-21   -1.676470e-14 -1.403563e-24
0.677113 1.103993e-08   6.480277e-19 1.396227e-38   8.194876e-15 -4.976319e-21   -8.073644e-15 1.760024e-24
0.800224 6.850130e-09   2.954724e-19 2.678870e-38   3.154292e-15 -5.823352e-21   -3.107663e-15 6.238059e-25
0.923336 4.287047e-09   1.363956e-19 1.219262e-37   9.756673e-16 -4.658681e-21   -9.574249e-16 1.648630e-24
1.046447 2.787580e-09   5.299519e-20 3.577863e-37   3.646696e-16 -7.199780e-21   -3.569520e-16 -2.896242e-25
1.169558 2.007372e-09   1.645800e-20 2.441348e-37   3.100057e-16 -5.505714e-21   -3.059926e-16 -5.346908e-25
1.292670 1.907494e-09   4.659179e-21 2.549295e-37   4.411563e-16 4.235165e-21   -4.375225e-16 -3.386375e-24
1.415781 2.352085e-09   2.115725e-21 1.243222e-37   7.392963e-16 -4.296551e-21   -7.337661e-16 1.002069e-24
1.538893 3.325101e-09   1.374838e-21 2.091324e-37   1.386863e-15 1.591767e-21   -1.375808e-15 -1.474900e-24
1.662004 5.035520e-09   5.268385e-22 4.566231e-37   2.854539e-15 -1.657172e-21   -2.829183e-15 4.915018e-24
1.785115 8.076227e-09   7.462996e-21 2.567908e-37   6.319430e-15 -9.865362e-21   -6.254212e-15 1.927603e-25
1.908227 1.482925e-08   4.860283e-19 3.956468e-37   1.490938e-14 -2.164393e-21   -1.468996e-14 -2.565537e-24
2.031338 3.058270e-08   1.124578e-17 1.339464e-36   3.960138e-14 -1.296796e-21   -3.867732e-14 -3.226541e-24
2.154450 5.130379e-08   1.011776e-16 4.253615e-37   1.460566e-13 -8.374819e-21   -1.435257e-13 1.337909e-24
2.277561 8.257351e-08   3.154459e-16 2.411514e-37   7.138950e-13 -4.069977e-21   -7.073921e-13 1.620561e-24
2.400672 2.917027e-07   3.488359e-16 3.256589e-37   3.186926e-12 -7.004232e-21   -3.102184e-12 1.733554e-24
2.523784 7.257216e-07   1.082425e-15 1.546920e-37   1.205143e-11 -4.005396e-21   -1.152585e-11 2.728059e-24
2.646895 1.456996e-06   2.316699e-15 2.450098e-37   4.403823e-11 8.174635e-21   -4.191771e-11 -5.015850e-24
2.770007 2.968362e-06   1.089838e-14 1.275254e-37   1.488278e-10 -1.850215e-21   -1.400275e-10 -7.858530e-25
2.893118 5.559145e-06   4.294397e-14 1.657384e-37   4.321446e-10 1.931427e-21   -4.012834e-10 6.735561e-25
3.016229 9.610674e-06   4.669240e-13 4.019962e-37   1.153407e-09 -4.362349e-22   -1.061509e-09 4.606099e-24
3.139341 1.556726e-05   7.282641e-13 9.922063e-38   2.854213e-09 -1.099808e-20   -2.612602e-09 3.604876e-24
3.262452 2.372474e-05   2.411025e-12 2.915824e-38   6.259868e-09 -2.120681e-21   -5.699415e-09 1.376490e-24
3.385564 3.383716e-05   7.799697e-12 2.318122e-37   1.207849e-08 -1.994026e-21   -1.094133e-08 -1.883308e-24
3.508675 4.492265e-05   5.886433e-12 2.533088e-37   2.074713e-08 -5.152432e-21   -1.873497e-08 2.944894e-24
3.631786 5.613045e-05   1.552096e-11 2.992627e-37   3.174255e-08 -1.593227e-21   -2.860744e-08 6.265725e-24
3.754898 6.582209e-05   2.004394e-11 2.750427e-37   4.321124e-08 -8.902774e-21   -3.889874e-08 5.044565e-24
