# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 9.492540e-05    2.701329e-06 9.488695e-05 5.901743e-17
1.596051 9.501534e-05    4.939380e-06 9.488686e-05 -4.591693e-18
2.660086 1.169641e-04    6.798424e-05 9.517737e-05 2.343547e-14
3.724120 2.618342e-04    1.389927e-04 2.218530e-04 1.942134e-11
4.788154 3.351177e-04    1.839011e-04 2.801436e-04 3.829610e-12
5.852189 3.411671e-04    1.932671e-04 2.811427e-04 1.640085e-12
6.916223 3.414313e-04    1.934181e-04 2.813670e-04 -2.627215e-12
7.980257 3.402752e-04    1.935697e-04 2.798245e-04 1.628179e-11
9.044291 3.419563e-04    1.934174e-04 2.820054e-04 -3.202518e-12
10.108326 3.375088e-04    1.846566e-04 2.825164e-04 -1.381867e-12
11.172360 2.723203e-04    1.394734e-04 2.338797e-04 5.807299e-12
12.236394 1.176088e-04    6.903493e-05 9.521734e-05 -3.260804e-13
13.300429 9.493065e-05    2.881469e-06 9.488691e-05 -1.772138e-16
14.364463 9.492216e-05    2.588084e-06 9.488687e-05 1.522657e-17
