# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 2.701901e-06    2.701329e-06 5.502124e-08 5.912884e-17
1.596051 4.939384e-06    4.939380e-06 6.968616e-09 -4.572412e-18
2.660086 6.808040e-05    6.798424e-05 3.613862e-06 2.347469e-14
3.724120 1.714850e-04    1.389927e-04 1.003429e-04 1.943751e-11
4.788154 2.257777e-04    1.839011e-04 1.309662e-04 3.830011e-12
5.852189 2.341956e-04    1.932671e-04 1.322640e-04 1.640845e-12
6.916223 2.343676e-04    1.934181e-04 1.323639e-04 -2.634359e-12
7.980257 2.340550e-04    1.935697e-04 1.315150e-04 1.629680e-11
9.044291 2.342930e-04    1.934174e-04 1.322351e-04 -3.206548e-12
10.108326 2.274600e-04    1.846566e-04 1.328208e-04 -1.382963e-12
11.172360 1.761248e-04    1.394734e-04 1.075235e-04 5.813802e-12
12.236394 6.913831e-05    6.903493e-05 3.822405e-06 -3.265587e-13
13.300429 2.881625e-06    2.881469e-06 3.279385e-08 -1.774319e-16
14.364463 2.588166e-06    2.588084e-06 2.024869e-08 1.523737e-17
