# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 2.701444e-06    2.701329e-06 2.371820e-08 5.912884e-17
1.596051 4.939381e-06    4.939380e-06 3.984189e-09 -4.572412e-18
2.660086 6.799892e-05    6.798424e-05 1.404775e-06 2.347469e-14
3.724120 1.463111e-04    1.389927e-04 4.548105e-05 1.943751e-11
4.788154 1.932763e-04    1.839011e-04 5.943297e-05 3.830011e-12
5.852189 2.023325e-04    1.932671e-04 5.987195e-05 1.640845e-12
6.916223 2.024684e-04    1.934181e-04 5.987909e-05 -2.634359e-12
7.980257 2.025592e-04    1.935697e-04 5.953753e-05 1.629680e-11
9.044291 2.025092e-04    1.934174e-04 6.002432e-05 -3.206548e-12
10.108326 1.942075e-04    1.846566e-04 6.016529e-05 -1.382963e-12
11.172360 1.477692e-04    1.394734e-04 4.875544e-05 5.813802e-12
12.236394 6.904810e-05    6.903493e-05 1.464666e-06 -3.265587e-13
13.300429 2.881475e-06    2.881469e-06 1.442150e-08 -1.774319e-16
14.364463 2.588103e-06    2.588084e-06 9.120517e-09 1.523737e-17
