# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 nan    2.701329e-06 nan 5.912884e-17
1.596051 4.939379e-06    4.939380e-06 1.036260e-10 -4.572412e-18
2.660086 6.798621e-05    6.798424e-05 4.949737e-07 2.347469e-14
3.724120 1.411501e-04    1.389927e-04 2.418540e-05 1.943751e-11
4.788154 1.864844e-04    1.839011e-04 3.087082e-05 3.830011e-12
5.852189 1.958194e-04    1.932671e-04 3.148702e-05 1.640845e-12
6.916223 1.959117e-04    1.934181e-04 3.120030e-05 -2.634359e-12
7.980257 1.961049e-04    1.935697e-04 3.117055e-05 1.629680e-11
9.044291 1.959351e-04    1.934174e-04 3.136070e-05 -3.206548e-12
10.108326 1.873185e-04    1.846566e-04 3.148854e-05 -1.382963e-12
11.172360 1.419546e-04    1.394734e-04 2.631464e-05 5.813802e-12
12.236394 6.903528e-05    6.903493e-05 6.116567e-07 -3.265587e-13
13.300429 nan    2.881469e-06 nan -1.774319e-16
14.364463 nan    2.588084e-06 nan 1.523737e-17
