# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 1.598094e-05 2.512148e-15 1.598094e-05 2
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 1.581378e-05 1.986415e-10 1.581388e-05 2
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 4.308091e-05 3.940210e-05 1.541937e-05 1
3.250000 8.529860e-05 8.451795e-05 9.650975e-06 1495
3.750000 9.528998e-05 9.486940e-05 9.005221e-06 28507
4.250000 1.084058e-04 1.080340e-04 8.673348e-06 44709
4.750000 1.207584e-04 1.204375e-04 8.610108e-06 45166
5.250000 1.271373e-04 1.268463e-04 8.491147e-06 45329
5.750000 1.270507e-04 1.267208e-04 8.575495e-06 45291
6.250000 1.275818e-04 1.273397e-04 8.566630e-06 45252
6.750000 1.274736e-04 1.271727e-04 8.546161e-06 45367
7.250000 1.270741e-04 1.267582e-04 8.525918e-06 45320
7.750000 1.272391e-04 1.269444e-04 8.528263e-06 45240
8.250000 1.273791e-04 1.270848e-04 8.529334e-06 45297
8.750000 1.274543e-04 1.271704e-04 8.567325e-06 45228
9.250000 1.275692e-04 1.272578e-04 8.563687e-06 45327
9.750000 1.266498e-04 1.263832e-04 8.583498e-06 45133
10.250000 1.201787e-04 1.198657e-04 8.589616e-06 45374
10.750000 1.077400e-04 1.073744e-04 8.710154e-06 44670
11.250000 9.521880e-05 9.484448e-05 8.971828e-06 26998
11.750000 8.281881e-05 8.215456e-05 9.600799e-06 1483
12.250000 8.437131e-05 8.604217e-05 1.014837e-05 4
12.750000 2.253243e-05 8.893733e-06 1.536734e-05 1
13.250000 1.611532e-05 1.481849e-07 1.615935e-05 1
13.750000 1.667990e-05 0.000000e+00 1.667990e-05 1
14.250000 1.668420e-05 0.000000e+00 1.668420e-05 1
14.750000 1.614732e-05 0.000000e+00 1.614732e-05 1
