# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 2.407035e-05 0.000000e+00 2.407035e-05 2
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 2.168752e-05 1.986415e-10 2.168765e-05 2
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 5.450149e-05 3.940210e-05 2.537433e-05 1
3.250000 9.308026e-05 8.451795e-05 3.825119e-05 1495
3.750000 1.042394e-04 9.487014e-05 4.372632e-05 28507
4.250000 1.189388e-04 1.080339e-04 4.961460e-05 44709
4.750000 1.307541e-04 1.204374e-04 5.087091e-05 45166
5.250000 1.364887e-04 1.268463e-04 5.073848e-05 45329
5.750000 1.364655e-04 1.267206e-04 5.074290e-05 45291
6.250000 1.369777e-04 1.273396e-04 5.054775e-05 45252
6.750000 1.368532e-04 1.271730e-04 5.037364e-05 45367
7.250000 1.364216e-04 1.267582e-04 5.081006e-05 45320
7.750000 1.365807e-04 1.269445e-04 5.056380e-05 45240
8.250000 1.366099e-04 1.270847e-04 5.020938e-05 45297
8.750000 1.366858e-04 1.271705e-04 5.029680e-05 45228
9.250000 1.369863e-04 1.272579e-04 5.079380e-05 45327
9.750000 1.360398e-04 1.263833e-04 5.046564e-05 45133
10.250000 1.302952e-04 1.198657e-04 5.048691e-05 45374
10.750000 1.185276e-04 1.073745e-04 4.973837e-05 44670
11.250000 1.045413e-04 9.484448e-05 4.408585e-05 26998
11.750000 9.075126e-05 8.215456e-05 3.894252e-05 1483
12.250000 9.098401e-05 8.604217e-05 4.028741e-05 4
12.750000 2.333377e-05 8.893733e-06 2.113365e-05 1
13.250000 2.631080e-05 1.481849e-07 2.641375e-05 1
13.750000 1.586007e-05 0.000000e+00 1.586007e-05 1
14.250000 1.820901e-05 0.000000e+00 1.820901e-05 1
14.750000 1.855219e-05 0.000000e+00 1.855219e-05 1
