# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 1.228244e-11 2.512148e-15 1.228426e-11 2
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 2.492337e-10 1.986415e-10 2.196266e-10 2
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 3.900597e-05 3.940210e-05 7.928567e-07 1
3.250000 8.585615e-05 8.451795e-05 1.435285e-05 1495
3.750000 9.619331e-05 9.486940e-05 1.622444e-05 28507
4.250000 1.093798e-04 1.080340e-04 1.679370e-05 44709
4.750000 1.216606e-04 1.204375e-04 1.678567e-05 45166
5.250000 1.280049e-04 1.268463e-04 1.677009e-05 45329
5.750000 1.278611e-04 1.267208e-04 1.678665e-05 45291
6.250000 1.283858e-04 1.273397e-04 1.681695e-05 45252
6.750000 1.283052e-04 1.271727e-04 1.676332e-05 45367
7.250000 1.278036e-04 1.267582e-04 1.674849e-05 45320
7.750000 1.280762e-04 1.269444e-04 1.679694e-05 45240
8.250000 1.281255e-04 1.270848e-04 1.678256e-05 45297
8.750000 1.282449e-04 1.271704e-04 1.676944e-05 45228
9.250000 1.283878e-04 1.272578e-04 1.680844e-05 45327
9.750000 1.274001e-04 1.263832e-04 1.678862e-05 45133
10.250000 1.210528e-04 1.198657e-04 1.679382e-05 45374
10.750000 1.086607e-04 1.073744e-04 1.679968e-05 44670
11.250000 9.609127e-05 9.484448e-05 1.614504e-05 26998
11.750000 8.321180e-05 8.215456e-05 1.454882e-05 1483
12.250000 8.477951e-05 8.604217e-05 1.266937e-05 4
12.750000 8.896943e-06 8.893733e-06 1.326891e-08 1
13.250000 1.476071e-07 1.481849e-07 6.289350e-10 1
13.750000 4.843571e-11 0.000000e+00 4.843803e-11 1
14.250000 1.391212e-11 0.000000e+00 1.391175e-11 1
14.750000 1.001746e-11 0.000000e+00 1.001751e-11 1
