# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 1.590779e-05 2.512148e-15 1.590779e-05 2
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 1.594829e-05 1.986415e-10 1.594838e-05 2
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 4.334608e-05 3.940210e-05 1.530058e-05 1
3.250000 8.528828e-05 8.451795e-05 9.643903e-06 1495
3.750000 9.529050e-05 9.486940e-05 9.002302e-06 28507
4.250000 1.084042e-04 1.080340e-04 8.669705e-06 44709
4.750000 1.207596e-04 1.204375e-04 8.606407e-06 45166
5.250000 1.271374e-04 1.268463e-04 8.487046e-06 45329
5.750000 1.270497e-04 1.267208e-04 8.570644e-06 45291
6.250000 1.275825e-04 1.273397e-04 8.562206e-06 45252
6.750000 1.274729e-04 1.271727e-04 8.539861e-06 45367
7.250000 1.270740e-04 1.267582e-04 8.520326e-06 45320
7.750000 1.272383e-04 1.269444e-04 8.523436e-06 45240
8.250000 1.273781e-04 1.270848e-04 8.524755e-06 45297
8.750000 1.274549e-04 1.271704e-04 8.565467e-06 45228
9.250000 1.275693e-04 1.272578e-04 8.561846e-06 45327
9.750000 1.266500e-04 1.263832e-04 8.578339e-06 45133
10.250000 1.201792e-04 1.198657e-04 8.585754e-06 45374
10.750000 1.077398e-04 1.073744e-04 8.705782e-06 44670
11.250000 9.521814e-05 9.484448e-05 8.968309e-06 26998
11.750000 8.282898e-05 8.215456e-05 9.595281e-06 1483
12.250000 8.435220e-05 8.604217e-05 9.936169e-06 4
12.750000 2.300368e-05 8.893733e-06 1.579017e-05 1
13.250000 1.577194e-05 1.481849e-07 1.581715e-05 1
13.750000 1.625051e-05 0.000000e+00 1.625051e-05 1
14.250000 1.637329e-05 0.000000e+00 1.637329e-05 1
14.750000 1.587256e-05 0.000000e+00 1.587256e-05 1
