# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 2.701395e-06    2.701329e-06 1.711395e-08 5.912884e-17
1.596051 4.939381e-06    4.939380e-06 4.119221e-09 -4.572412e-18
2.660086 6.800368e-05    6.798424e-05 1.618930e-06 2.347469e-14
3.724120 1.528328e-04    1.389927e-04 6.339918e-05 1.943751e-11
4.788154 2.017674e-04    1.839011e-04 8.298582e-05 3.830011e-12
5.852189 2.105164e-04    1.932671e-04 8.344685e-05 1.640845e-12
6.916223 2.105872e-04    1.934181e-04 8.330085e-05 -2.634359e-12
7.980257 2.106084e-04    1.935697e-04 8.288789e-05 1.629680e-11
9.044291 2.107668e-04    1.934174e-04 8.375892e-05 -3.206548e-12
10.108326 2.028082e-04    1.846566e-04 8.387192e-05 -1.382963e-12
11.172360 1.551824e-04    1.394734e-04 6.799211e-05 5.813802e-12
12.236394 6.905275e-05    6.903493e-05 1.669615e-06 -3.265587e-13
13.300429 2.881446e-06    2.881469e-06 6.405518e-09 -1.774319e-16
14.364463 2.588096e-06    2.588084e-06 6.970199e-09 1.523737e-17
