# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 3.920865e-05 0.000000e+00 3.920865e-05 2
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 3.098624e-05 1.986415e-10 3.098639e-05 2
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 5.509433e-05 3.940210e-05 4.301673e-05 1
3.250000 9.604158e-05 8.451795e-05 4.489947e-05 1495
3.750000 1.063171e-04 9.487014e-05 4.863456e-05 28507
4.250000 1.200633e-04 1.080339e-04 5.239781e-05 44709
4.750000 1.317719e-04 1.204374e-04 5.359007e-05 45166
5.250000 1.375503e-04 1.268463e-04 5.336102e-05 45329
5.750000 1.375362e-04 1.267206e-04 5.346207e-05 45291
6.250000 1.380254e-04 1.273396e-04 5.329686e-05 45252
6.750000 1.379696e-04 1.271730e-04 5.325392e-05 45367
7.250000 1.373917e-04 1.267582e-04 5.351230e-05 45320
7.750000 1.375294e-04 1.269445e-04 5.324770e-05 45240
8.250000 1.376052e-04 1.270847e-04 5.294825e-05 45297
8.750000 1.376231e-04 1.271705e-04 5.300888e-05 45228
9.250000 1.379947e-04 1.272579e-04 5.349327e-05 45327
9.750000 1.369851e-04 1.263833e-04 5.316215e-05 45133
10.250000 1.312807e-04 1.198657e-04 5.317742e-05 45374
10.750000 1.197330e-04 1.073745e-04 5.259313e-05 44670
11.250000 1.067706e-04 9.484448e-05 4.894243e-05 26998
11.750000 9.312916e-05 8.215456e-05 4.491061e-05 1483
12.250000 1.001231e-04 8.604217e-05 4.670888e-05 4
12.750000 3.302905e-05 8.893733e-06 3.295365e-05 1
13.250000 3.912117e-05 1.481849e-07 3.919851e-05 1
13.750000 2.005695e-05 0.000000e+00 2.005695e-05 1
14.250000 2.661985e-05 0.000000e+00 2.661985e-05 1
14.750000 4.543726e-05 0.000000e+00 4.543726e-05 1
