# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 2.381879e-06 2.512148e-15 2.381879e-06 2
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 2.419820e-06 1.986415e-10 2.419877e-06 2
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 3.682827e-05 3.940210e-05 2.732851e-06 1
3.250000 8.590922e-05 8.451795e-05 1.449735e-05 1495
3.750000 9.621288e-05 9.486940e-05 1.633248e-05 28507
4.250000 1.093932e-04 1.080340e-04 1.688851e-05 44709
4.750000 1.216783e-04 1.204375e-04 1.687872e-05 45166
5.250000 1.280143e-04 1.268463e-04 1.686418e-05 45329
5.750000 1.278843e-04 1.267208e-04 1.688816e-05 45291
6.250000 1.283824e-04 1.273397e-04 1.691222e-05 45252
6.750000 1.283209e-04 1.271727e-04 1.687024e-05 45367
7.250000 1.278212e-04 1.267582e-04 1.684486e-05 45320
7.750000 1.280905e-04 1.269444e-04 1.690018e-05 45240
8.250000 1.281478e-04 1.270848e-04 1.688283e-05 45297
8.750000 1.282570e-04 1.271704e-04 1.686689e-05 45228
9.250000 1.284071e-04 1.272578e-04 1.690915e-05 45327
9.750000 1.274121e-04 1.263832e-04 1.688838e-05 45133
10.250000 1.210675e-04 1.198657e-04 1.689292e-05 45374
10.750000 1.086741e-04 1.073744e-04 1.690540e-05 44670
11.250000 9.610722e-05 9.484448e-05 1.625798e-05 26998
11.750000 8.320094e-05 8.215456e-05 1.469042e-05 1483
12.250000 8.467139e-05 8.604217e-05 1.274120e-05 4
12.750000 6.981980e-06 8.893733e-06 2.314354e-06 1
13.250000 1.443264e-06 1.481849e-07 1.381752e-06 1
13.750000 1.675295e-06 0.000000e+00 1.675295e-06 1
14.250000 1.979434e-06 0.000000e+00 1.979434e-06 1
14.750000 1.874435e-06 0.000000e+00 1.874435e-06 1
