# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 5.831719e-05 0.000000e+00 5.831719e-05 2
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 7.131073e-05 1.986415e-10 7.131064e-05 2
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 2.498824e-05 3.940210e-05 3.457167e-05 1
3.250000 1.215146e-04 8.451795e-05 8.547652e-05 1495
3.750000 1.311869e-04 9.487014e-05 9.056555e-05 28507
4.250000 1.447156e-04 1.080339e-04 9.632316e-05 44709
4.750000 1.541177e-04 1.204374e-04 9.643483e-05 45166
5.250000 1.593204e-04 1.268463e-04 9.647594e-05 45329
5.750000 1.595073e-04 1.267206e-04 9.634155e-05 45291
6.250000 1.592788e-04 1.273396e-04 9.631562e-05 45252
6.750000 1.597580e-04 1.271730e-04 9.626274e-05 45367
7.250000 1.593462e-04 1.267582e-04 9.643570e-05 45320
7.750000 1.592069e-04 1.269445e-04 9.626698e-05 45240
8.250000 1.590799e-04 1.270847e-04 9.624314e-05 45297
8.750000 1.594465e-04 1.271705e-04 9.640796e-05 45228
9.250000 1.597559e-04 1.272579e-04 9.656562e-05 45327
9.750000 1.591051e-04 1.263833e-04 9.650231e-05 45133
10.250000 1.535946e-04 1.198657e-04 9.629743e-05 45374
10.750000 1.443663e-04 1.073745e-04 9.623578e-05 44670
11.250000 1.307569e-04 9.484448e-05 9.037195e-05 26998
11.750000 1.183310e-04 8.215456e-05 8.714145e-05 1483
12.250000 9.162887e-05 8.604217e-05 7.284058e-05 4
12.750000 9.926431e-05 8.893733e-06 9.246582e-05 1
13.250000 9.532454e-06 1.481849e-07 9.526623e-06 1
13.750000 3.284111e-05 0.000000e+00 3.284111e-05 1
14.250000 5.931358e-05 0.000000e+00 5.931358e-05 1
14.750000 7.590408e-05 0.000000e+00 7.590408e-05 1
