# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 8.115974e-05 3.688242e-06 7.946222e-05 1
3.250000 1.357788e-04 5.804501e-05 1.457662e-04 40
3.750000 1.668480e-04 8.694550e-05 1.893301e-04 558
4.250000 1.909213e-04 1.100081e-04 2.238902e-04 888
4.750000 2.186992e-04 1.094394e-04 2.432806e-04 875
5.250000 2.273311e-04 1.071344e-04 2.513947e-04 939
5.750000 2.321019e-04 1.144003e-04 2.593168e-04 928
6.250000 2.278461e-04 1.136945e-04 2.521715e-04 874
6.750000 2.282492e-04 1.103381e-04 2.546376e-04 926
7.250000 2.318256e-04 1.185741e-04 2.590776e-04 917
7.750000 2.289954e-04 1.123018e-04 2.541445e-04 914
8.250000 2.272011e-04 1.168564e-04 2.516321e-04 916
8.750000 2.205308e-04 1.146412e-04 2.450819e-04 899
9.250000 2.299957e-04 1.123011e-04 2.544815e-04 896
9.750000 2.203278e-04 1.150782e-04 2.474850e-04 867
10.250000 2.133162e-04 1.169515e-04 2.442539e-04 899
10.750000 1.875500e-04 1.099491e-04 2.197399e-04 892
11.250000 1.637254e-04 9.214489e-05 1.866167e-04 557
11.750000 1.330386e-04 4.879306e-05 1.435982e-04 37
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 4.548954e-08 1.447665e-08 5.882602e-08 1
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
