# 1          2        3       4                5        6       7
# x  meanFx(r)  meanFxR meanFxI  meanFyR meanFyI  meanFzR meanFzI
0.256836 -3.816464e-07     -3.816464e-07 0.000000e+00  -4.022182e-08 0.000000e+00  3.650598e-08 0.000000e+00
0.770508 2.770384e-07     2.770384e-07 0.000000e+00  -7.597726e-08 0.000000e+00  -2.237089e-08 0.000000e+00
1.284179 -2.525225e-07     -2.525225e-07 0.000000e+00  1.996669e-07 0.000000e+00  -1.343339e-07 0.000000e+00
1.797851 4.269561e-07     4.269561e-07 0.000000e+00  -2.639825e-08 0.000000e+00  1.098208e-07 0.000000e+00
2.311523 -3.714718e-06     -3.714718e-06 0.000000e+00  2.764622e-07 0.000000e+00  -1.146862e-06 0.000000e+00
2.825194 -4.288106e-07     -4.288106e-07 0.000000e+00  5.817520e-07 0.000000e+00  -1.711664e-06 0.000000e+00
3.338866 -3.766334e-06     -3.766334e-06 0.000000e+00  2.250745e-06 0.000000e+00  -1.796483e-06 0.000000e+00
3.852538 5.453428e-06     5.453428e-06 0.000000e+00  5.408876e-06 0.000000e+00  4.934558e-07 0.000000e+00
4.366210 3.890062e-06     3.890062e-06 0.000000e+00  3.032791e-07 0.000000e+00  4.431444e-06 0.000000e+00
4.879881 6.196885e-06     6.196885e-06 0.000000e+00  -6.857016e-07 0.000000e+00  6.371160e-06 0.000000e+00
5.393553 3.897379e-06     3.897379e-06 0.000000e+00  8.819020e-06 0.000000e+00  -2.805037e-06 0.000000e+00
5.907225 -1.242647e-05     -1.242647e-05 0.000000e+00  1.794023e-06 0.000000e+00  -2.692969e-06 0.000000e+00
6.420896 -1.366699e-06     -1.366699e-06 0.000000e+00  -2.299587e-06 0.000000e+00  -6.777143e-06 0.000000e+00
6.934568 -5.467904e-06     -5.467904e-06 0.000000e+00  2.274587e-06 0.000000e+00  -2.868487e-06 0.000000e+00
7.448240 3.328271e-06     3.328271e-06 0.000000e+00  4.582350e-06 0.000000e+00  -2.863556e-06 0.000000e+00
7.961912 2.012961e-05     2.012961e-05 0.000000e+00  7.235364e-06 0.000000e+00  -5.335773e-06 0.000000e+00
8.475583 -1.040522e-05     -1.040522e-05 0.000000e+00  1.771418e-06 0.000000e+00  -6.649109e-06 0.000000e+00
8.989255 -4.662227e-06     -4.662227e-06 0.000000e+00  -1.359755e-06 0.000000e+00  -5.058445e-06 0.000000e+00
9.502927 -2.020079e-06     -2.020079e-06 0.000000e+00  -3.505362e-06 0.000000e+00  5.019469e-07 0.000000e+00
10.016598 -1.154027e-05     -1.154027e-05 0.000000e+00  -9.659811e-06 0.000000e+00  5.190739e-06 0.000000e+00
10.530270 5.119712e-06     5.119712e-06 0.000000e+00  -2.683762e-06 0.000000e+00  4.502122e-07 0.000000e+00
11.043942 6.780224e-06     6.780224e-06 0.000000e+00  8.806181e-07 0.000000e+00  1.301825e-06 0.000000e+00
11.557613 -9.701291e-08     -9.701291e-08 0.000000e+00  2.652461e-06 0.000000e+00  3.787822e-06 0.000000e+00
12.071285 -5.076028e-08     -5.076028e-08 0.000000e+00  4.797163e-08 0.000000e+00  2.765099e-06 0.000000e+00
12.584957 1.211791e-06     1.211791e-06 0.000000e+00  -3.166084e-07 0.000000e+00  -4.401473e-07 0.000000e+00
13.098629 -8.553821e-07     -8.553821e-07 0.000000e+00  -6.207015e-08 0.000000e+00  1.013321e-07 0.000000e+00
13.612300 7.062630e-07     7.062630e-07 0.000000e+00  1.423974e-07 0.000000e+00  -1.187541e-07 0.000000e+00
14.125972 -4.760422e-07     -4.760422e-07 0.000000e+00  2.220020e-08 0.000000e+00  -1.027807e-08 0.000000e+00
14.639644 4.944752e-07     4.944752e-07 0.000000e+00  -2.005789e-08 0.000000e+00  -7.122590e-08 0.000000e+00
