# x  mFx  mFy  mFz,   
# 1  2-4    5-7    8-10   11     
# x  sumEF  dirEF  recEF  #Sample
0.532017     -3.896192e-08 -7.630270e-09 -6.433065e-08     -2.877991e-08 0.000000e+00 -5.937650e-08     -1.018201e-08 -7.630270e-09 -4.954148e-09
1.596051     1.218324e-07 1.003218e-07 -2.141604e-08     1.600183e-07 0.000000e+00 6.241300e-08     -3.818589e-08 1.003218e-07 -8.382904e-08
2.660086     -1.729033e-06 6.035674e-08 8.093853e-07     -1.484994e-06 0.000000e+00 4.836233e-07     -2.440397e-07 6.035674e-08 3.257620e-07
3.724120     3.492219e-06 6.075332e-06 9.974622e-06     3.148487e-06 0.000000e+00 4.619343e-06     3.437313e-07 6.075332e-06 5.355278e-06
4.788154     1.123755e-05 -2.404582e-08 5.006246e-06     5.784953e-06 0.000000e+00 -5.090984e-07     5.452599e-06 -2.404582e-08 5.515344e-06
5.852189     -1.581994e-05 1.101684e-05 -5.289026e-06     -1.067748e-05 0.000000e+00 2.546703e-06     -5.142462e-06 1.101684e-05 -7.835729e-06
6.916223     -1.344371e-05 2.118959e-06 -3.148521e-06     -5.321435e-06 0.000000e+00 2.111226e-06     -8.122275e-06 2.118959e-06 -5.259748e-06
7.980257     9.307803e-06 2.870235e-06 2.435446e-06     1.903910e-05 0.000000e+00 7.040226e-06     -9.731292e-06 2.870235e-06 -4.604780e-06
9.044291     -1.657375e-05 6.868122e-06 -7.298172e-06     -4.379139e-06 0.000000e+00 -1.589642e-06     -1.219461e-05 6.868122e-06 -5.708529e-06
10.108326     -7.055545e-06 -3.827216e-06 -1.571272e-05     -8.565255e-06 0.000000e+00 -8.414080e-06     1.509710e-06 -3.827216e-06 -7.298643e-06
11.172360     6.393606e-06 2.193563e-06 1.195430e-06     5.060911e-06 0.000000e+00 1.323580e-06     1.332694e-06 2.193563e-06 -1.281497e-07
12.236394     2.828389e-07 3.252204e-08 1.678383e-07     3.550608e-07 0.000000e+00 -6.921511e-08     -7.222191e-08 3.252204e-08 2.370534e-07
13.300429     -3.124807e-07 -3.414517e-08 -3.902713e-08     -2.418779e-07 0.000000e+00 1.825649e-08     -7.060280e-08 -3.414517e-08 -5.728361e-08
14.364463     7.756462e-08 -1.561592e-07 9.471527e-08     -2.544430e-08 0.000000e+00 2.580349e-09     1.030089e-07 -1.561592e-07 9.213492e-08
