# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 8.721929e-05 4.630127e-06 8.758713e-05 6
0.750000 1.107048e-04 3.004873e-08 1.106957e-04 7
1.250000 1.004797e-04 7.143951e-08 1.005025e-04 5
1.750000 9.366349e-05 1.973504e-06 9.322537e-05 8
2.250000 9.659965e-05 4.290269e-05 9.096407e-05 9
2.750000 1.500392e-04 8.750920e-05 1.025697e-04 8
3.250000 2.188182e-04 1.464722e-04 1.620999e-04 1795
3.750000 2.901005e-04 1.696133e-04 2.341914e-04 26485
4.250000 3.371534e-04 1.928667e-04 2.759425e-04 42240
4.750000 3.552620e-04 2.162165e-04 2.816397e-04 42652
5.250000 3.602353e-04 2.259998e-04 2.802861e-04 42312
5.750000 3.613234e-04 2.272135e-04 2.820570e-04 42587
6.250000 3.621858e-04 2.268652e-04 2.819163e-04 42180
6.750000 3.611581e-04 2.278152e-04 2.795055e-04 42437
7.250000 3.609214e-04 2.283475e-04 2.806596e-04 42516
7.750000 3.649277e-04 2.279430e-04 2.854455e-04 42330
8.250000 3.634785e-04 2.279507e-04 2.829487e-04 42377
8.750000 3.632860e-04 2.275149e-04 2.825297e-04 42347
9.250000 3.614695e-04 2.278877e-04 2.811881e-04 42549
9.750000 3.618740e-04 2.278675e-04 2.817287e-04 42488
10.250000 3.541574e-04 2.173598e-04 2.791675e-04 42273
10.750000 3.379729e-04 1.928305e-04 2.761669e-04 42291
11.250000 2.910307e-04 1.694189e-04 2.365185e-04 25961
11.750000 2.144355e-04 1.448860e-04 1.590924e-04 1827
12.250000 2.066924e-04 1.245664e-04 1.067000e-04 3
12.750000 1.253238e-04 5.308467e-05 9.332192e-05 5
13.250000 8.272909e-05 4.102063e-06 8.198402e-05 11
13.750000 9.094271e-05 1.636068e-12 9.094271e-05 4
14.250000 8.780816e-05 4.047059e-06 8.781159e-05 8
14.750000 1.001731e-04 2.467025e-07 1.001396e-04 7
