# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.168672e-04 1.652290e-04 2.069191e-04 36
3.750000 1.386058e-04 2.426907e-04 2.799883e-04 544
4.250000 1.675788e-04 3.123081e-04 3.544228e-04 886
4.750000 1.898144e-04 3.062611e-04 3.627435e-04 943
5.250000 1.998435e-04 2.878833e-04 3.486929e-04 878
5.750000 1.947276e-04 2.826539e-04 3.436409e-04 889
6.250000 1.956967e-04 2.917621e-04 3.503499e-04 920
6.750000 1.964981e-04 2.791001e-04 3.416943e-04 894
7.250000 1.883305e-04 2.737516e-04 3.344019e-04 857
7.750000 1.978353e-04 2.819087e-04 3.461759e-04 877
8.250000 1.944252e-04 2.710797e-04 3.311088e-04 861
8.750000 1.885812e-04 2.729868e-04 3.331440e-04 937
9.250000 2.010908e-04 2.678918e-04 3.248651e-04 942
9.750000 1.905298e-04 2.858754e-04 3.372663e-04 913
10.250000 1.867461e-04 2.896420e-04 3.419022e-04 929
10.750000 1.618638e-04 2.678564e-04 3.133337e-04 919
11.250000 1.454220e-04 2.318831e-04 2.711308e-04 564
11.750000 1.384935e-04 1.561722e-04 1.955285e-04 35
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
