# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 5.024808e-11 1.037497e-07 1.037737e-07 1
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.251667e-04 1.146006e-04 1.501892e-04 39
3.750000 1.463836e-04 2.157974e-04 2.671222e-04 570
4.250000 1.674391e-04 2.759019e-04 3.245283e-04 898
4.750000 1.839136e-04 2.798284e-04 3.394312e-04 939
5.250000 1.912747e-04 2.762238e-04 3.418697e-04 929
5.750000 1.973745e-04 2.660585e-04 3.332041e-04 900
6.250000 1.992249e-04 2.737850e-04 3.427405e-04 899
6.750000 1.902768e-04 2.609247e-04 3.203534e-04 852
7.250000 1.894525e-04 2.674299e-04 3.225866e-04 917
7.750000 1.899277e-04 2.650147e-04 3.260406e-04 930
8.250000 1.964729e-04 2.749558e-04 3.425146e-04 888
8.750000 1.929274e-04 2.678957e-04 3.332276e-04 883
9.250000 1.935288e-04 2.590765e-04 3.277619e-04 911
9.750000 1.934260e-04 2.620805e-04 3.293171e-04 917
10.250000 1.853904e-04 2.673377e-04 3.288290e-04 895
10.750000 1.626281e-04 2.623259e-04 3.073515e-04 879
11.250000 1.455436e-04 2.166248e-04 2.627550e-04 540
11.750000 1.199829e-04 1.506771e-04 2.017517e-04 35
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 3.176296e-05 3.632409e-06 2.892012e-05 1
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 6.512811e-08 6.512811e-08 1
