# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 1.397466e-08 1.262970e-06 1.276400e-06 1
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 4.969231e-11 2.211306e-06 2.211332e-06 1
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 2.837994e-05 2.748144e-06 2.938183e-05 1
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.374750e-04 4.965605e-05 1.519605e-04 39
3.750000 1.386423e-04 9.070493e-05 1.671304e-04 551
4.250000 1.640577e-04 1.065811e-04 1.934190e-04 917
4.750000 1.856135e-04 1.126577e-04 2.195782e-04 933
5.250000 1.879980e-04 1.141928e-04 2.160247e-04 878
5.750000 1.901833e-04 1.151530e-04 2.199173e-04 948
6.250000 1.895097e-04 1.092699e-04 2.191450e-04 911
6.750000 1.909120e-04 1.094296e-04 2.211114e-04 890
7.250000 1.906334e-04 1.118525e-04 2.211005e-04 908
7.750000 1.961044e-04 1.124265e-04 2.253509e-04 936
8.250000 1.868758e-04 1.119917e-04 2.230523e-04 894
8.750000 1.922545e-04 1.075723e-04 2.176066e-04 826
9.250000 1.858433e-04 1.187524e-04 2.229489e-04 897
9.750000 1.861958e-04 1.193680e-04 2.235427e-04 929
10.250000 1.768649e-04 1.176079e-04 2.125272e-04 915
10.750000 1.582956e-04 1.074755e-04 1.967832e-04 894
11.250000 1.460082e-04 8.688298e-05 1.722044e-04 519
11.750000 1.261427e-04 4.923832e-05 1.276730e-04 35
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 2.604546e-12 2.402050e-06 2.402048e-06 1
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
