# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 1.301658e-06    1.281175e-06 2.274009e-07 1.192852e-15
1.596051 4.622875e-06    4.391876e-06 1.448187e-06 -1.484367e-14
2.660086 7.023380e-05    7.009594e-05 4.293231e-06 9.136067e-13
3.724120 1.658865e-04    1.400590e-04 8.864305e-05 4.422827e-11
4.788154 2.160809e-04    1.840364e-04 1.130151e-04 4.917104e-11
5.852189 2.242250e-04    1.926170e-04 1.145234e-04 5.994456e-11
6.916223 2.228595e-04    1.930536e-04 1.111347e-04 4.573060e-11
7.980257 2.245000e-04    1.937441e-04 1.150335e-04 -3.692318e-10
9.044291 2.243548e-04    1.933692e-04 1.133169e-04 1.027109e-10
10.108326 2.162986e-04    1.845470e-04 1.124512e-04 8.220217e-11
11.172360 1.645531e-04    1.404471e-04 8.567853e-05 1.152604e-11
12.236394 7.003501e-05    6.985922e-05 4.963613e-06 -4.478382e-14
13.300429 3.948594e-06    3.774628e-06 1.147511e-06 2.679375e-14
14.364463 3.329451e-06    2.651474e-06 2.014757e-06 -4.313419e-15
