# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 3.042669e-06    2.999727e-06 5.051937e-07 4.256155e-15
1.596051 4.464328e-06    4.427858e-06 5.725562e-07 -3.525517e-15
2.660086 8.166749e-05    8.162216e-05 2.757563e-06 -2.016744e-13
3.724120 1.756317e-04    1.658683e-04 5.793461e-05 -2.219747e-11
4.788154 2.303754e-04    2.176470e-04 7.546101e-05 8.263597e-12
5.852189 2.412989e-04    2.292919e-04 7.518207e-05 -1.980734e-12
6.916223 2.403656e-04    2.288130e-04 7.392891e-05 -4.526343e-11
7.980257 2.410048e-04    2.288636e-04 7.531574e-05 3.229566e-11
9.044291 2.403390e-04    2.283903e-04 7.466445e-05 2.591090e-11
10.108326 2.296439e-04    2.173272e-04 7.422877e-05 -4.710561e-12
11.172360 1.754682e-04    1.658299e-04 5.710027e-05 2.909361e-11
12.236394 8.184912e-05    8.180646e-05 2.706021e-06 -3.410923e-13
13.300429 5.192560e-06    5.167507e-06 5.072988e-07 2.199871e-15
14.364463 2.757890e-06    2.726035e-06 4.186124e-07 -5.470275e-16
