# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 1.310576e-11 1.310774e-11 1
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 1.693226e-05 1.445814e-05 2.041396e-05 49
3.750000 2.084422e-05 2.495311e-05 3.214209e-05 531
4.250000 2.298131e-05 2.978277e-05 3.751449e-05 849
4.750000 2.688972e-05 3.114285e-05 4.075962e-05 941
5.250000 2.879083e-05 3.256153e-05 4.345363e-05 932
5.750000 2.913998e-05 3.131725e-05 4.304504e-05 924
6.250000 2.890038e-05 3.150506e-05 4.322790e-05 906
6.750000 2.770412e-05 3.280026e-05 4.260807e-05 872
7.250000 2.872716e-05 3.226326e-05 4.342249e-05 944
7.750000 2.877821e-05 3.108270e-05 4.189236e-05 881
8.250000 2.894593e-05 3.153501e-05 4.303825e-05 881
8.750000 2.824799e-05 3.207300e-05 4.271856e-05 902
9.250000 2.818622e-05 2.956532e-05 4.066248e-05 911
9.750000 2.858645e-05 2.991703e-05 4.151277e-05 849
10.250000 2.695143e-05 3.074625e-05 4.134544e-05 941
10.750000 2.400070e-05 3.004926e-05 3.848907e-05 901
11.250000 2.110235e-05 2.527029e-05 3.300712e-05 566
11.750000 1.637723e-05 1.435556e-05 2.224079e-05 42
12.250000 1.457068e-05 1.873238e-06 1.383521e-05 1
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
