# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
0.061556 8.644227e-08   1.674585e-17 6.728806e-37   2.106235e-13 -3.970467e-22   -2.031680e-13 4.511454e-25
0.184667 8.612549e-08   1.959773e-17 4.017615e-37   2.167139e-13 -2.329341e-21   -2.093159e-13 8.465938e-25
0.307779 7.477088e-08   2.122232e-17 5.233511e-37   1.812099e-13 -4.235165e-22   -1.756405e-13 2.227878e-24
0.430890 5.562107e-08   1.733475e-17 4.648403e-37   1.346201e-13 3.176374e-21   -1.315438e-13 1.292169e-24
0.554001 3.217692e-08   1.019547e-17 2.223296e-38   9.493793e-14 3.811648e-21   -9.391277e-14 2.539781e-24
0.677113 1.112609e-08   4.450490e-18 5.045724e-37   4.938650e-14 2.964615e-21   -4.926716e-14 4.455757e-25
0.800224 5.538730e-09   1.331851e-18 8.980313e-37   1.665397e-14 -2.329341e-21   -1.662463e-14 3.675999e-25
0.923336 6.899127e-09   4.355744e-19 6.334620e-37   5.027126e-15 5.558654e-21   -4.979964e-15 8.243150e-25
1.046447 6.009124e-09   3.757073e-19 6.516904e-37   2.495578e-15 1.482308e-21   -2.459844e-15 2.673454e-25
1.169558 6.980717e-09   6.436029e-19 1.432749e-36   2.008974e-15 -1.270549e-21   -1.960887e-15 -4.455757e-25
1.292670 9.895595e-09   1.507051e-18 2.833757e-37   2.592558e-15 7.199780e-21   -2.496142e-15 -3.921066e-24
1.415781 1.332458e-08   2.645922e-18 6.027163e-38   4.465473e-15 2.518503e-21   -4.290575e-15 -2.211113e-24
1.538893 1.609262e-08   3.300915e-18 4.292607e-37   7.048780e-15 -1.793383e-21   -6.793109e-15 -1.658234e-24
1.662004 1.902525e-08   5.230233e-18 4.980588e-37   1.250608e-14 1.361484e-21   -1.214935e-14 3.108327e-25
1.785115 2.120628e-08   7.699381e-18 5.346859e-37   3.957424e-14 2.436715e-21   -3.913224e-14 -2.232959e-24
1.908227 5.734819e-08   1.440044e-17 1.045653e-36   1.794385e-13 4.562701e-21   -1.761641e-13 -7.697398e-26
2.031338 1.795151e-07   1.448252e-16 5.800657e-37   7.175401e-13 -1.068016e-21   -6.854592e-13 -2.502628e-24
2.154450 3.527102e-07   2.107280e-16 2.212137e-37   1.975104e-12 -7.640622e-21   -1.850910e-12 9.549932e-25
2.277561 5.845533e-07   5.404916e-16 7.018075e-37   5.373793e-12 3.584910e-21   -5.032631e-12 1.059087e-24
2.400672 1.094283e-06   7.100734e-15 1.832780e-37   1.777497e-11 -1.907098e-22   -1.658461e-11 4.192175e-25
2.523784 1.812536e-06   1.025944e-14 7.227903e-37   4.656110e-11 -1.717948e-21   -4.328607e-11 2.237560e-25
2.646895 2.864718e-06   2.128451e-14 3.378794e-37   1.103072e-10 5.905193e-21   -1.021219e-10 -1.801653e-24
2.770007 4.486584e-06   1.590948e-13 8.558964e-37   2.666838e-10 -1.260187e-21   -2.467135e-10 -2.386382e-24
2.893118 7.124330e-06   2.418311e-13 3.580562e-37   6.724396e-10 -3.206871e-21   -6.219254e-10 1.326906e-24
3.016229 1.156533e-05   1.772660e-13 1.073210e-36   1.688157e-09 -5.976205e-22   -1.554578e-09 1.018707e-25
3.139341 1.814426e-05   1.958079e-12 5.759292e-38   3.853666e-09 -5.122984e-21   -3.526410e-09 -7.444034e-25
