# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
0.061556 -nan   1.674585e-17 6.728806e-37   2.998994e-14 1.571643e-23   -3.110945e-14 6.038907e-26
0.184667 -nan   1.959773e-17 4.017615e-37   1.172977e-14 -3.705769e-22   -1.284242e-14 1.199241e-25
0.307779 -nan   2.122232e-17 5.233511e-37   2.761429e-14 5.293956e-23   -2.852330e-14 5.159124e-25
0.430890 -nan   1.733475e-17 4.648403e-37   4.150697e-14 2.646978e-22   -4.259230e-14 2.590535e-25
0.554001 -nan   1.019547e-17 2.223296e-38   3.178443e-14 -2.117582e-22   -3.275430e-14 2.214982e-25
0.677113 -nan   4.450490e-18 5.045724e-37   1.518469e-14 1.323489e-22   -1.576545e-14 4.653062e-26
0.800224 -nan   1.331851e-18 8.980313e-37   4.341236e-15 -4.499863e-22   -4.554691e-15 3.374390e-25
0.923336 -nan   4.355744e-19 6.334620e-37   7.561581e-16 -5.293956e-23   -7.985169e-16 3.567258e-25
1.046447 -nan   3.757073e-19 6.516904e-37   1.543136e-16 -7.411538e-22   -1.613455e-16 1.469290e-25
1.169558 -nan   6.436029e-19 1.432749e-36   1.517583e-16 -7.411538e-22   -1.530199e-16 -1.454182e-25
1.292670 3.920184e-09   1.507051e-18 2.833757e-37   3.496747e-16 -2.117582e-22   -3.358139e-16 -5.558375e-25
1.415781 6.862069e-09   2.645922e-18 6.027163e-38   6.752697e-16 2.953001e-23   -6.308276e-16 -3.823631e-25
1.538893 8.106639e-09   3.300915e-18 4.292607e-37   8.910625e-16 -8.107141e-23   -8.286458e-16 -1.465780e-24
1.662004 5.883188e-09   5.230233e-18 4.980588e-37   1.061278e-15 -5.577601e-22   -1.031896e-15 -1.307178e-26
1.785115 -nan   7.699381e-18 5.346859e-37   3.806972e-15 -8.948889e-22   -3.996654e-15 -1.031692e-25
1.908227 -nan   1.440044e-17 1.045653e-36   2.910849e-14 -2.905668e-22   -2.924918e-14 -4.377590e-25
2.031338 7.925667e-08   1.448252e-16 5.800657e-37   1.463137e-13 -4.278516e-22   -1.401769e-13 -1.068736e-24
2.154450 1.356556e-07   2.107280e-16 2.212137e-37   3.998422e-13 -1.051908e-21   -3.816504e-13 -3.735167e-25
2.277561 1.903938e-07   5.404916e-16 7.018075e-37   1.165449e-12 -5.847796e-22   -1.129740e-12 -4.582276e-25
2.400672 4.253225e-07   7.100734e-15 1.832780e-37   3.187651e-12 -9.008472e-22   -3.013853e-12 -2.038222e-25
