# x  Error  E_dir  E_rec  2*mF_dir*mF_rec
0.532017 8.928883e-07    8.739454e-07 1.828577e-07 3.207176e-17
1.596051 1.102665e-06    1.102051e-06 3.118340e-08 3.810401e-16
2.660086 1.654049e-05    1.570942e-05 5.177140e-06 -7.362113e-16
3.724120 9.293949e-05    2.931084e-05 8.819070e-05 1.023534e-12
4.788154 1.177404e-04    3.821043e-05 1.113650e-04 6.040071e-13
5.852189 1.208886e-04    4.036375e-05 1.139277e-04 5.320631e-12
6.916223 1.198072e-04    4.053988e-05 1.127462e-04 -1.424422e-12
7.980257 1.218152e-04    4.045002e-05 1.149032e-04 2.184198e-16
9.044291 1.192362e-04    4.063845e-05 1.121092e-04 -2.698843e-12
10.108326 1.194287e-04    3.822522e-05 1.131109e-04 7.965021e-12
11.172360 9.366639e-05    2.925993e-05 8.895668e-05 3.958371e-12
12.236394 1.614938e-05    1.570211e-05 3.778290e-06 -2.945687e-14
13.300429 1.324677e-06    1.324253e-06 3.633512e-08 -1.979682e-16
14.364463 1.649326e-07    1.575436e-07 4.883622e-08 -2.198078e-18
