# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 1.565531e-05 0.000000e+00 1.565531e-05 1
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 2.286074e-05 1.693226e-05 1.891480e-05 49
3.750000 3.540013e-05 2.084422e-05 2.908623e-05 531
4.250000 4.009502e-05 2.298131e-05 3.302557e-05 849
4.750000 4.327416e-05 2.688972e-05 3.426811e-05 941
5.250000 4.654767e-05 2.879083e-05 3.638688e-05 932
5.750000 4.613147e-05 2.913998e-05 3.517672e-05 924
6.250000 4.575483e-05 2.890038e-05 3.489684e-05 906
6.750000 4.572003e-05 2.770412e-05 3.665521e-05 872
7.250000 4.576128e-05 2.872716e-05 3.574385e-05 944
7.750000 4.453192e-05 2.877821e-05 3.462807e-05 881
8.250000 4.569096e-05 2.894593e-05 3.508883e-05 881
8.750000 4.550309e-05 2.824799e-05 3.588828e-05 902
9.250000 4.339398e-05 2.818622e-05 3.330151e-05 911
9.750000 4.396676e-05 2.858645e-05 3.339416e-05 849
10.250000 4.367949e-05 2.695143e-05 3.410395e-05 941
10.750000 4.147211e-05 2.400070e-05 3.386705e-05 901
11.250000 3.619347e-05 2.110235e-05 2.938275e-05 566
11.750000 2.519261e-05 1.637723e-05 2.025749e-05 42
12.250000 2.470589e-05 1.457068e-05 1.574783e-05 1
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
