# 1  2      3      4      5      
# x  sumEF  dirEF  recEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 6.934103e-10 0.000000e+00 6.934103e-10 1
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 3.192470e-05 1.693226e-05 2.741566e-05 49
3.750000 5.458745e-05 2.084422e-05 5.044964e-05 531
4.250000 6.316499e-05 2.298131e-05 5.909340e-05 849
4.750000 6.707618e-05 2.688972e-05 6.204232e-05 941
5.250000 7.122814e-05 2.879083e-05 6.468873e-05 932
5.750000 7.334455e-05 2.913998e-05 6.688497e-05 924
6.250000 7.344296e-05 2.890038e-05 6.735682e-05 906
6.750000 7.196296e-05 2.770412e-05 6.744146e-05 872
7.250000 7.077077e-05 2.872716e-05 6.440042e-05 944
7.750000 6.809512e-05 2.877821e-05 6.227662e-05 881
8.250000 6.767397e-05 2.894593e-05 6.112405e-05 881
8.750000 6.798744e-05 2.824799e-05 6.173086e-05 902
9.250000 6.789862e-05 2.818622e-05 6.262235e-05 911
9.750000 6.685320e-05 2.858645e-05 5.997752e-05 849
10.250000 7.054235e-05 2.695143e-05 6.445346e-05 941
10.750000 6.769963e-05 2.400070e-05 6.311436e-05 901
11.250000 5.738199e-05 2.110235e-05 5.308830e-05 566
11.750000 3.733749e-05 1.637723e-05 3.152987e-05 42
12.250000 1.206243e-05 1.457068e-05 4.006732e-06 1
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
