# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.508694e-04 2.326704e-12 8.508694e-04 38
3.750000 8.669322e-04 2.606367e-12 8.669322e-04 548
4.250000 7.207553e-04 2.751673e-12 7.207553e-04 912
4.750000 3.845629e-04 2.722889e-12 3.845629e-04 907
5.250000 1.927121e-04 2.765846e-12 1.927121e-04 883
5.750000 1.911697e-04 3.086931e-12 1.911697e-04 870
6.250000 1.882399e-04 3.018767e-12 1.882399e-04 917
6.750000 1.858844e-04 3.101389e-12 1.858844e-04 917
7.250000 1.858035e-04 3.000824e-12 1.858035e-04 909
7.750000 1.865328e-04 3.008081e-12 1.865328e-04 944
8.250000 1.840324e-04 3.062644e-12 1.840324e-04 911
8.750000 1.936525e-04 3.034000e-12 1.936525e-04 888
9.250000 1.838591e-04 3.058912e-12 1.838591e-04 934
9.750000 1.911863e-04 2.905684e-12 1.911863e-04 911
10.250000 4.154907e-04 2.950451e-12 4.154907e-04 902
10.750000 7.396859e-04 2.822749e-12 7.396859e-04 878
11.250000 8.645047e-04 2.650946e-12 8.645047e-04 518
11.750000 8.309396e-04 2.722283e-12 8.309396e-04 36
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.750000 1.349691e-04 2.707832e-12 1.349691e-04 1
14.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
