# 1  2      3      4      5      
# x  dirEF  recEF  sumEF  #Sample
0.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
0.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
1.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
2.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
3.250000 8.560546e-04 8.544294e-05 8.502385e-04 33
3.750000 8.744835e-04 9.917604e-05 8.966524e-04 601
4.250000 7.299028e-04 1.096442e-04 7.242957e-04 891
4.750000 3.896220e-04 1.088161e-04 4.047964e-04 911
5.250000 1.931388e-04 1.070609e-04 2.200913e-04 899
5.750000 1.952134e-04 1.057726e-04 2.229517e-04 910
6.250000 1.941614e-04 1.068275e-04 2.196755e-04 875
6.750000 1.935960e-04 1.141883e-04 2.252955e-04 942
7.250000 1.953026e-04 1.056746e-04 2.263234e-04 924
7.750000 1.865117e-04 1.050005e-04 2.178498e-04 935
8.250000 1.868994e-04 1.048053e-04 2.142395e-04 872
8.750000 1.850927e-04 1.108861e-04 2.133662e-04 894
9.250000 1.894182e-04 1.193582e-04 2.268451e-04 912
9.750000 1.924313e-04 1.119548e-04 2.189241e-04 881
10.250000 3.921639e-04 1.155883e-04 4.203414e-04 881
10.750000 7.215090e-04 1.050881e-04 7.058411e-04 866
11.250000 8.549492e-04 9.550686e-05 8.805184e-04 549
11.750000 8.224019e-04 9.156499e-05 8.189700e-04 45
12.250000 0.000000e+00 0.000000e+00 0.000000e+00 0
12.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
13.250000 1.389291e-04 4.802666e-05 1.565908e-04 1
13.750000 1.041108e-04 1.338528e-05 1.098621e-04 1
14.250000 1.789026e-04 2.668323e-05 1.670121e-04 1
14.750000 0.000000e+00 0.000000e+00 0.000000e+00 0
